"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Bundesblatt/Feuille fédérale/Foglio federale";"https://feuille-federale.unige.ch/";"German, French, Italian";"203,585,806 tokens (German), 239,125,036 tokens (French), 85,223,085 tokens (Italian";"tokenised, syntactically-parsed";"";"";"This corpus contains texts from 1849 to 2014.#SEPThe corpus is available through the CQPWeb concordancer.";"Historical corpora";"Concordancer";"https://feuille-federale.unige.ch/";"";"";""
"Corpus of old Polish texts until 1500 (Korpus tekstów staropolskich do roku 1500)";"https://ijp.pan.pl/publikacje-elektroniczne/korpus-tekstow-staropolskich";"Polish, Latin";"620,000 tokens";"tokenised";"";"";"This corpus contains texts until 1500.#SEPThe corpus is available for download from a dedicated webpage.";"Historical corpora";"Download";"https://ijp.pan.pl/publikacje-elektroniczne/korpus-tekstow-staropolskich";"";"";""
"Corpus of the 16. century Polish (Korpus polszczyzny XVI wieku)";"https://spxvi.edu.pl/korpus/";"Polish, Latin";"";"lemmatised, transliteration";"";"";"This corpus contains texts from the 16th century.#SEPThe corpus is available through a dedicated concordancer.";"Historical corpora";"Concordancer";"https://spxvi.edu.pl/korpus/probka/szukaj";"";"";""
"eFontes Mediae et Infimae Latinitatis Polonorum (Elektroniczny korpus polskiej łaciny średniowiecznej)";"http://scriptores.pl/efontes/";"Polish, Latin";"5 million tokens";"tokenised, lemmatised";"";"";"This corpus contains texts from the 11th to the middle of the 16th century.#SEPThe corpus is available through a dedicated concordancer.";"Historical corpora";"Concordancer";"http://scriptores.pl/efontes/";"";"";""
"XV century New Testament translations (Piętnastowieczne przekłady Nowego Testamentu – elektroniczna konkordancja staropolska)";"http://stnt.ijp.pan.pl/";"Polish, Latin";"400,000 tokens";"tokenised";"";"";"This corpus contains Biblical texts from 1380 to 1500.#SEPThis corpus is available through a dedicated concordancer.";"Historical corpora";"Concordancer";"http://stnt.ijp.pan.pl/idxlac/index";"";"";""
