Corpus;Corpus_URL;Language;Size;Annotation;Licence;Description;Buttons;Buttons_URL;Publication;Publication_URL;Note
One-million Corpus of Croatian Literary Language;http://hdl.handle.net/11372/LRT-234;Croatian;;;;The corpus is listed in the LINDAT repository. ;;;;;
Johannes V. Jensen Corpus;http://hdl.handle.net/20.500.12115/20;Danish;"1,760,093 words; 8,489 pages";;CC BY-SA 4.0;This corpus presents the collected works of the Danish author Johannes Jensen.#SEPThe corpus is available for download from CLARIN-DK and for online browsing through a dedicated concordancer.;Browse#SEPDownload;http://johannesvjensen.dk/jensenonline/liste-over-vaerker/#SEPhttp://hdl.handle.net/20.500.12115/20;;;
Complete Corpus of Anglo-Saxon Poetry;http://hdl.handle.net/11372/LRT-867;English (Old);;;;This corpus is available for online browsing through an external interface.;Browse;https://www.sacred-texts.com/neu/ascp/;;;
York-Helsinki Parsed Corpus of Old English Poetry;http://ota.ox.ac.uk/headers/2425.xml;English (Old);71,490 words;MSD-tagged, syntactically parsed;Restricted;This corpus contains a selection of poetic texts (71,490 words) from the Old English Section of the <a href=”http://www.helsinki.fi/varieng/CoRD/corpora/HelsinkiCorpus/”>Helsinki Corpus of English Texts.</a>#SEPThe corpus is available for download from the Oxford Text Archive.;Download;http://ota.ox.ac.uk/headers/2425.xml;;;
Collection of older original Estonian-language works of fiction;http://doi.org/10.15155/9-00-0000-0000-0000-00088L;Estonian;173 texts;;CLARIN ACA;"This corpus collects older Estonian literary texts published on ""Kreutzwald's Century: the Estonian Cultural History Web"". The electronically republished books, included in the collection, are based on the first editions of works by more important Estonian authors, published in 1854-1944.#SEPThe corpus is available for online browsing through an external interface.";Browse;http://krzwlive.kirmus.ee/et/;;;
Corpus of Estonian fiction;http://doi.org/10.15155/1-00-0000-0000-0000-0007EL;Estonian;5,768,504 words;;CLARIN ACA - NC;This corpus contains texts from 1990 onwards.#SEPThe corpus is available for download from CELR.;Download;http://doi.org/10.15155/1-00-0000-0000-0000-0007EL;;;
Estonian Runic Songs' Database;http://doi.org/10.15155/9-00-0000-0000-0000-0008FL;Estonian;92,134 texts;;CLARIN ACA;These are the oldest text recordings of Estonian runic songs (the text recordings were created in the 19th century and in the first decades of the 20th century). In addition to the runic songs, the database also has songs of transitional form and end-rhymed songs (about 6000).#SEPThe corpus is available for online browsing through an external interface.;Browse;http://www.folklore.ee/regilaul/;;;
Classics of English and American Literature in Finnish (CEAL);http://urn.fi/urn:nbn:fi:lb-2016110901;Finnish;3 novels, 484,010 tokens;MSD-tagged, syntactically parsed;CLARIN RES + NC;"This corpus contains Finnish translations of the following three texts: Jane Austen: Ylpeys ja ennakkoluulo (Pride and Prejudice), translated by Kersti Juva, Teos 2013; Henry James: Washingtonin aukio (Washington Square), translated by Kersti Juva, Otava 2003; Charles Dickens: Kolea talo (Bleak House), translated by Kersti Juva, Tammi, 2006.#SEPThe corpus is available for online browsing through Korp in two versions - Version 1 (Sentences and Paragraphs in the Original Order) and Version 2 (Scrambled Paragraphs))";Browse (original)#SEPBrowse (scrambled);http://urn.fi/urn:nbn:fi:lb-2018011201#SEPhttp://urn.fi/urn:nbn:fi:lb-2018011202;;;
Classics of Finnish Literature, Kielipankki Version;http://urn.fi/urn:nbn:fi:lb-20140730186;Finnish;1,500,000 words;;EUPL v.1.1 SA;This corpus contains prose fiction, plays, poetry and aphorisms (some written originally in Swedish) of established Finnish authors published from 1880s to 1949.#SEPThe corpus is available for online browsing through Korp.;Browse;http://urn.fi/urn:nbn:fi:lb-2016081601;;;
Finnish Corpus (Literature) (UHLCS);http://urn.fi/urn:nbn:fi:lb-2014032622;Finnish;68,425 words;tagged;CLARIN RES;This corpus contains samples of Finnish literature published by the WSOY publishing company in the 1990.#SEPThe corpus is available online through FIN-CLARIN.;Browse;http://lbr.csc.fi/apply-for?resource=urn:nbn:fi:lb-2014032622;;;
Corpus of Old Literary Finnish;http://hdl.handle.net/11372/LRT-776;Finnish;3,428,618 words;;;This corpus contains various works published during the Swedish rule (from the 16th century to about 1810), extensive manuscripts from that period (most of which were later printed), as well as individual almanac and decree texts, sermons and poetry.#SEPThis corpus is available for online browsing through an external interface.;Browse;http://kaino.kotus.fi/korpus/vks/meta/vks_coll_rdf.xml;;;
Corpus of Early Literary Finnish;http://hdl.handle.net/11372/LRT-772;Finnish;;;;;;;;;
Corpus of Finnish Literary Classics;http://hdl.handle.net/11372/LRT-773;Finnish;1,456,658 words;;;This corpus contains works by established Finnish fiction writers from the 1880s to the 1930s. There are different types of prose and plays, as well as lyrics and aphorisms.#SEPThis corpus is available for online browsing through an external interface.;Browse;http://kaino.kotus.fi/korpus/klassikot/meta/klassikot_coll_rdf.xml;;;
