Corpus;Corpus_URL;Language;Size;Annotation;Licence;Description;Buttons;Buttons_URL;Publication;Publication_URL;Note
The Finnish Gutenberg Corpus;http://urn.fi/urn:nbn:fi:lb-2014100301;Finnish;34,487,420 words;;CC-BY;This corpus contains Finnish books made available by the Gutenberg project. The texts have not been linguistically annotated.#SEPThe corpus is available for online browsing through Korp.;Browse;http://urn.fi/urn:nbn:fi:lb-2014102101;;;
The Morpho-Syntactic Database of Mikael Agricola's Works;http://urn.fi/urn:nbn:fi:lb-20140730170;Finnish;"83,678 sentences; 428,314 tokens; 38,308 words";MSD-tagged, syntactically parsed;CC-BY-ND;This corpus contains the Finnish parts of Mikael Agricola’s works (Abckiria, Rukouskiria, Se Wsi testamenti, Käsikiria, Messu, Piina, Psaltari, Veisut, Profeetat).#SEPThe corpus is available for online browsing through Korp.;Browse;http://urn.fi/urn:nbn:fi:lb-201803273;;;
République-Bastille (1948-1949);http://hdl.grnet.gr/11500/AUTH-0000-0000-24DC-0;French;37,965 words;;CC-BY;This corpus contains République-Bastille, a novel by Melpo Axioti. This French text is of particular linguistic interest since it is a text written in a language other than the author's mother tongue and is suited for research on bilingualism and self-translation. It would be worth measuring the naturalness of the language with computational tools, for example.#SEPThe corpus is available for download from clarin:el.;Download;http://hdl.grnet.gr/11500/AUTH-0000-0000-24DC-0;;;
Greek Medieval Texts;http://hdl.grnet.gr/11500/AEGEAN-0000-0000-251D-7;Greek (Ancient), Greek (Modern);3,419,553 words;;CC-BY-NC;This corpus contains medieval texts contains written material covering the period from the 4th till the 16th century A.D. The texts can be classified into the following categories: religious, poetical-literary, political-historical, hymns, epigrams.#SEPThe corpus is available for download from clarin:el.;Download;http://hdl.grnet.gr/11500/AEGEAN-0000-0000-251D-7;;;
Latvian literature classics;http://hdl.handle.net/11372/LRT-184;Latvian;;;;This corpus presents classics from the end of the 19th century to the beginning of the 20th century.;;;;;
North Saami Corpus (Literature) (UHLCS);http://urn.fi/urn:nbn:fi:lb-2014032620;North Sami;17,830 words;;CLARIN RES +NC +NORED +PLAN;This corpus contains <i>Kerttu Vuolab's</i> novel <i>Cheppari cháráhus</i>.#SEPThe corpus is available for online browsing through the TAITO shell.;Browse;https://lbr.csc.fi/apply-for?resource=urn:nbn:fi:lb-2014032620;;;
NorGramBank – Fiction in Norwegian Bokmål;http://hdl.handle.net/11495/D988-2078-6447-1;Norwegian (Bokmal);"26,903,637 words; 2,469,916 sentences";syntactically parsed;CLARIN ACA;This corpus, which is based on OCR data from the National Library of Norway, is available for online browsing through INESS.;Browse;http://clarino.uib.no/iness/landing-page?collection=NorGramBank;;;
NorGramBank children’s fiction in Norwegian Bokmål;http://hdl.handle.net/11495/D988-1F83-B1F5-1;Norwegian (Bokmal);"4,111,213 words; 389,564 sentences";syntactically parsed;CLARIN ACA;This corpus, which is based on OCR data from the National Library of Norway, is available for online browsing through INESS.;Browse;http://clarino.uib.no/iness/landing-page?collection=NorGramBank;;;
NorGrambank children's fiction in Norwegian Nynorsk;http://hdl.handle.net/11495/D963-33EA-65BD-0;Norwegian (Nynorsk);"1,043,260 words; 106,434 sentences";;;This corpus, which is based on OCR data from the National Library of Norway, is available for online browsing through INESS.;Browse;http://clarino.uib.no/iness/landing-page?collection=NorGramBank;;;
NorGramBank fiction in Norwegian Nynorsk;http://hdl.handle.net/11495/D985-7B94-F361-1;Norwegian (Nynorsk);"2,884,376 words; 260,285 sentences";syntactically parsed;CLARIN ACA;This corpus, which is based on OCR data from the National Library of Norway, is available for online browsing through INESS.;Browse;http://clarino.uib.no/iness/landing-page?collection=NorGramBank;;;
1000 Novels Corpus;http://hdl.handle.net/11321/312;Polish;1000 texts;;CC-BY 4.0;This corpus is available for download from CLARIN-PL.;Download;http://hdl.handle.net/11321/312;;;
1000PLUS Novels Corpus (1.0);http://hdl.handle.net/11321/699;Polish;"1000 texts; 17,352,826 words";;CC-BY-SA 3.0;This corpus is available for download from CLARIN-PL.;Download;http://hdl.handle.net/11321/699;;;
Late 19th- and Early 20th-Century Polish Novels ;http://hdl.handle.net/11321/57;Polish;;;CC-BY 3.0;This corpus is available for download from CLARIN-PL.;Download;http://hdl.handle.net/11321/57;;;
POE: Microcorpus of 20th century Polish poetry;http://hdl.handle.net/11321/604;Polish;;;plWordNet;This corpus is available for download from CLARIN-PL.;Download;http://hdl.handle.net/11321/604;;;
LT Corpus;https://doi.org/21.11115/0000-000B-D33D-3;Portuguese;1,781,083 words;;CLARIN RES;This corpus contains 70 copyright-free classics (61 Portugal and 9 Brazil) published before 1940.#SEPThe corpus is available for download from PORTULAN.;Download;http://doi.org/21.11115/0000-000B-D33D-3;;;
Banco de Datos de Once Novelas Españolas 1951—1971 (SOL) (2014-10-08);http://hdl.handle.net/10794/80;Spanish;"1,267,391 tokens; 69,270 sentences";sentence scrambled;CC-BY 4.0;This corpus is available for download from SWE-CLARIN and for online browsing through Korp.;Browse#SEPDownload;https://spraakbanken.gu.se/korp/?mode=spanish#?corpus=one71#SEPhttp://hdl.handle.net/10794/80;;;
Electronic corpus of 15th-century Castilian cancionero manuscripts;http://hdl.handle.net/11372/LRT-873;Spanish;;;;This is a lyric corpus of 15th century cancioneros.#SEPThe corpus is available for online browsing through an external interface.;Browse;http://cancionerovirtual.liv.ac.uk/;;;
Electronic text corpus of Sumerian literature (ETCSL);http://hdl.handle.net/11372/LRT-874;Sumerian;400 literary compositions;;;This corpus presents a selection of nearly 400 literary compositions recorded on sources which come from ancient Mesopotamia and date to the late third and early second millennia BCE.#SEPThe corpus is available for online browsing through an external interface.;Browse;http://etcsl.orinst.ox.ac.uk/;;;
August Strindberg's novels (2017-10-16);http://hdl.handle.net/10794/79;Swedish;"4,309,037 tokens; 321,759 sentences";sentence scrambling;CC-BY 4.0;This corpus presents the collected works of August Strindberg.#SEPThe corpus is available for download from SWE-CLARIN and for online browsing through Korp.;Browse#SEPDownload;https://spraakbanken.gu.se/korp/#?corpus=strindbergromaner#SEPhttp://hdl.handle.net/10794/79;;;
Bonnier novels I (1976/77) (2017-10-04);http://hdl.handle.net/10794/115;Swedish;"6,578,675 tokens; 462,625 sentences";sentence scrambling;CC-BY 4.0;This corpus presents 69 Bonnier novels from 1976-77.#SEPThe corpus is available for download from SWE-CLARIN and for online browsing through Korp.;Browse#SEPDownload;https://spraakbanken.gu.se/korp/#corpus=romi#SEPhttp://hdl.handle.net/10794/115;;;
Bonnier novels II (1980/81) (2017-03-17);http://hdl.handle.net/10794/116;Swedish;"4,304,271 tokens; 298,361 sentences";sentence scrambling;CC-BY 4.0;This corpus presents 60 Bonnier novels from 1980-81.#SEPThe corpus is available for download from SWE-CLARIN and for online browsing through Korp.;Browse#SEPDownload;https://spraakbanken.gu.se/korp/#corpus=romii#SEPhttp://hdl.handle.net/10794/116;;;
