"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"MuchMore Springer Bilingual Corpus";"http://muchmore.dfki.de/resources1.htm";"English,German";"1 million tokens";"PoS/MSD-tagged, phrase chunking, semantic class and relations, document structure";"free but unspecified";"";"This paper contains journal paper abstracts from medical disciplines. The corpus is encoded in MuchMore XML.#SEPThe corpus is available for download from a dedicated website.";"Academic corpora";"Download";"http://muchmore.dfki.de/resources1.htm";"";"";""
"Scientext corpus";"https://scientext.hypotheses.org/corpus";"French,English";"20 million words";"";"CC BY";"";"This corpus contains scientific texts and argumentative essays in humanities, experimental sciences, and applied/technical sciences.#SEPThe corpus is available for online querying through a dedicated webpage.";"Academic corpora";"Concordancer";"http://scientext.hypotheses.org/corpus";"";"";""
"Corpus of Romanian Academic Genres – ROGER (bilingual, student papers)";"https://roger-corpus.org/";"Romanian, English";"3.3 million words";"";"CC BY-NC-ND";"";"The corpus contains academic papers from eight disciplines, written by the Romanian students in native Romanian and English L2.#SEPThe corpus was collected over a three-year period (2018–2021) with the help of 27 collaborators from nine Romanian universities.#SEPThe corpus is available for online querying through a <a href=""https://roger-corpus.org/index.php"">dedicated platform</a> developed at the <a href=""https://codhus.projects.uvt.ro/"">CODHUS</a> research centre from the West University of Timisoara.";"Academic corpora";"Concordancer";"https://roger-corpus.org/login.php";"Striletchi et al. (2022)";"https://www.scitepress.org/PublicationsDetail.aspx?ID=dnjrjd5eEW4=&&t=1";""
"Spanish-English Research Article Corpus";"https://books.google.si/books?id=NZbWCgAAQBAJ&pg=PA178&lpg=PA178&dq=serac+corpus&source=bl&ots=A7F-vUMJsr&sig=ACfU3U1b8W_r944Bs8OviL9xauHtUoeqVg&hl=sl&sa=X&ved=2ahUKEwiRuq_5nczmAhXT5KYKHWUtBlcQ6AEwAHoECAUQAQ#v=onepage&q=serac%20corpus&f=false";"Spanish,English";"5.7 million words";"";"";"";"This corpus contains journal articles published between 2000 and 2010.#SEPThe corpus is unavailable.";"Academic corpora";"";"";"";"";""
