Corpus,Corpus_URL,Language,Size,Annotation,Licence,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note;;
"Open Richly Annotated Cuneiform Corpus, Korp Version,http://urn.fi/urn:nbn:fi:lb-2018071121,Akkadian,""741,100 tokens"",tokenised,CC-BY-SA,This corpus contains cuneiform texts from Ancient history.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-2018071122,,,";;
Greek Medieval Texts,http://hdl.grnet.gr/11500/AEGEAN-0000-0000-251D-7,Ancient Greek,3.4 million words,,CC-BY,This corpus contains texts from the 4th to the 16th century.#SEPThe corpus is available for download from the clarin:el repository.  ,Download,http://hdl.grnet.gr/11500/AEGEAN-0000-0000-251D-7,,,;;
Sheffield Corpus of Chinese,http://purl.ox.ac.uk/ota/2481,Chinese,,,CC-BY-NC-SA 3.0,This corpus contains fictional and non-fictional texts from the Medieval and Modern Chinese periods.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2481,,,;;
"Brieven als buit (Letters as loot),http://brievenalsbuit.inl.nl/zeebrieven/page/about,Dutch,""460,000 words"",""lemmatised, PoS-tagged, grammatically tagged"",,""This corpus contains 1,000 letters from the 17th to the 18th century.#SEPThe corpus is available through a dedicated concordancer."",Concordancer,http://brievenalsbuit.inl.nl/zeebrieven/page/search,Rutten and van der Wal (2014).,https://www.clarin.eu/resource-families/historical-corpora#Rutten%20and%C2%A0van%20der%20Wal%202014,";;
"Corpus Gysseling,https://ivdnt.org/downloads/taalmaterialen/tstc-corpus-gysseling,Dutch,1.5 million words,""PoS-tagged, lemmatised"",INT Licence for researchers,This corpus contains texts from the 13th century.#SEPThe corpus is available for download from the Instituut voor de Nederlandse Taal and through a dedicated concordancer.,Concordancer#SEPDownload ,http://gysseling.corpus.taalbanknederlands.inl.nl/gysseling/page/search#SEPhttp://ivdnt.org/downloads/taalmaterialen/tstc-corpus-gysseling,,,";;
A Corpus of English Dialogues 1560-1760 (CED),http://purl.ox.ac.uk/ota/2507,English,1.2 million words,,Oxford Text Archive licence,This corpus contains dialogues from literary and didactic works from 1560 to 1760.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2507,,,;;
"Corpus of Early English Correspondence Sampler (CEECS),http://purl.ox.ac.uk/ota/2461,English,""450,000 words"",,Oxford Text Archive licence,This corpus contains 1147 letters from 1418 to 1680.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2461,,,";;
Corpus of Late Modern English prose / David Denison,http://purl.ox.ac.uk/ota/2077,English,,,Oxford Text Archive licence,This corpus contains fictional texts from 1837 to 1926.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2077,,,;;
"Hansard Corpus,https://www.clarin.ac.uk/hansard-corpus,English,1.6 billion tokens,""tokenised, PoS-tagged, lemmatised, semantic tags"",,This corpus contains parliamentary debates from 1803 to 2005.#SEPThe corpus is available through a dedicated concordancer.,Download,https://www.hansard-corpus.org/x.asp,Rayson et al. (2015).,https://www.clarin.eu/resource-families/historical-corpora#Rayson%20et%20al.%202015,";;
"Helsinki Corpus of Scottish Correspondence (1540-1750),http://urn.fi/urn:nbn:fi:lb-201411071,English,""500,000 tokens"",tokenised,CLARIN ACA,This corpus contains personal correspondence from 1540 to 1750.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-2016121607,,,";;
