Corpus,Corpus_URL,Size,Linguistic information,Licence,Language,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
Multifunctional Computational Lexicon of Contemporary Portuguese,http://metashare.elda.org/repository/browse/multifunctional-computational-lexicon-of-contemporary-portuguese/23452ca8a35a11e1a404080027e73ea2d0884e62ca8f466fa0f6be6e1e397cd4/,"26,443 entries","lemmas, MWEs, PoS-tags",CC-BY - SA,Portuguese,"This is a frequency lexicon suitable for NLP specific purposes (information extraction, lemmatization, PoS tagging). The resource is available for download from META-SHARE (CLARIN PORTULAN distribution).",Download,http://metashare.elda.org/repository/browse/multifunctional-computational-lexicon-of-contemporary-portuguese/23452ca8a35a11e1a404080027e73ea2d0884e62ca8f466fa0f6be6e1e397cd4/,,,
PAROLE Portuguese Lexicon,https://portulanclarin.net/repository/browse/parole-portuguese-lexicon/f9be5b86cf3011e1a404080027e73ea246e34a4274c54c068f14a2d622f4e4d4/,"20,000 entries","MSD tags, lemma",ELRA EVALUATION,Portuguese,This is a morphosyntactic lexicon available for download from CLARIN PORTULAN,Download,http://portulanclarin.net/repository/browse/parole-portuguese-lexicon/f9be5b86cf3011e1a404080027e73ea246e34a4274c54c068f14a2d622f4e4d4/,,,
Porlex,https://portulanclarin.net/repository/browse/porlex/a7ea7a8e2cb811e2a2aa782bcb074135ffcac606a29341d581999e6ff55ed5b8/,"27,374 words","orthographic and phonological/phonetic transcriptions, phonetic, MSD-tags, and frequency information",MS NC-NoReD-ND,Portuguese,This is a lexicon that provides psycholinguistic and cognitive information that is useful to select stimulus materials for experiments and/or training vocabularies. The resource is available for download from CLARIN PORTULAN.,This is a morphosyntactic lexicon available for download from CLARIN PORTULAN,http://portulanclarin.net/repository/browse/porlex/a7ea7a8e2cb811e2a2aa782bcb074135ffcac606a29341d581999e6ff55ed5b8/,,,
Simple Portuguese Lexicon,http://metashare.elda.org/repository/browse/simple-portuguese-lexicon/fafce15ccf3011e1a404080027e73ea2bbc3f718cfbf452989472b8f2bd5f392/,"10,438 entries","qualia structure, semantic relations (hyponymy, synonymy, etc.)",MS-BY-NC-SA,Portuguese,This semantic lexicon is available for download from CLARIN PORTULAN.,Download,http://metashare.elda.org/repository/browse/simple-portuguese-lexicon/fafce15ccf3011e1a404080027e73ea2bbc3f718cfbf452989472b8f2bd5f392/,,,
Automatically constructed multiword lexicon srMWELex v0.5,http://hdl.handle.net/11356/1178,"22,290 entries",MWEs,CC-BY 4.0,Serbian,This is a lexicon of multiword expressions available for download from CLARIN.SI.,Download,http://hdl.handle.net/11356/1178,,,
Word embeddings CLARIN.SI-embed.sr 1.0,http://hdl.handle.net/11356/1206,"1,480,566 entries","PoS-tags, lemmas",CC-BY 4.0,Serbian,"This lexicon contains word embeddings from the <a href=""http://hdl.handle.net/11356/1063"">srWaC web corpus</a>. The resource is available for download from CLARIN.SI.",Download,http://hdl.handle.net/11356/1206,,,
Automatically constructed multiword lexicon slMWELex v0.5,http://hdl.handle.net/11356/1179,"47,579 entries",MWEs,CC-BY 4.0,Slovenian,This is a lexicon of multiword expressions available for download from CLARIN.SI.,Download,http://hdl.handle.net/11356/1179,,,
"Automatically stress labelled morphological lexicon Sloleks 1.2, version 1.1",http://hdl.handle.net/11356/1186,"100,805 entries; 2,774,745 words","wordforms, PoS-tags, lemmas, frequency, prosody",CC-BY-NC-SA 4.0,Slovenian,"This is an extended version of the morphological lexicon <a href=""http://hdl.handle.net/11356/1039"">Sloleks 1.2</a> with added information about the stress of each word form. The resource is available for download from CLARIN.SI.",Download,http://hdl.handle.net/11356/1186,Krsnik and Robnik Šikonja (2017),https://www.clarin.eu/resource-families/lexical-resources-lexica#Krsnik%20and%20Robnik%20%C5%A0ikonja%202017],
Beseda Corpus Lemmatisation Lexicon,http://hdl.handle.net/11356/1141,"3,228,127 entries","wordforms, PoS-tags, lemmas, frequency",CC-BY 4.0,Slovenian,"This lexicon contains inflected open class words from the <a href=""http://bos.zrc-sazu.si/sskj_en.html"">Dictionary of Standard Slovenian</a> that are augmented by wordforms, their part of speech tags and their lemmas used during the PoS tagging and lemmatization of the <a href=""http://bos.zrc-sazu.si/beseda.html"">Beseda corpus</a>. The resource is available for download from CLARIN.SI and for online browsing.",Browse#SEPDownload,http://bos.zrc-sazu.si/dol_lem1.html#SEPhttp://hdl.handle.net/11356/1141,,,
Lexicon of historical Slovene imp25k 1.1,http://hdl.handle.net/11356/1032,"28,034 entries","MSD-tags, lemmas, etymological glosses",CC-BY 4.0,Slovenian,This is a morphological lexicon available for download from CLARIN.SI and for online browsing through a dedicated environment.,Browse#SEPDownload,http://nl.ijs.si/imp/imp25k/html-s/#SEPhttp://hdl.handle.net/11356/1032,Erjavec (2015),https://www.clarin.eu/resource-families/lexical-resources-lexica#Erjavec%202015,
Morphological lexicon Sloleks 2.0,http://hdl.handle.net/11356/1230,"100,805 entries","wordforms, PoS-tags, lemmas, frequency, phonology",CC-BY-NC-SA 4.0,Slovenian,This is a reference morphological lexicon of the Slovenian language developed to be used in NLP applications and language manuals. The resource is available for download from CLARIN.SI and for online browsing.,Browse#SEPDownload,http://eng.slovenscina.eu/sloleks#SEPhttp://hdl.handle.net/11356/1230,Dobrovoljc et al. (2017),https://www.clarin.eu/resource-families/lexical-resources-lexica#Dobrovoljc%20et%20al.%202017,
Slovene sentiment lexicon JOB 1.0,http://hdl.handle.net/11356/1112,"25,524 entries",sentiment tags,CC-BY-S15A 4.0,Slovenian,This is a lexicon of sentiment labels available for download from the CLARIN.SI repository.,Download,http://hdl.handle.net/11356/1112,Bučar et al. (2018),https://www.clarin.eu/resource-families/lexical-resources-lexica#Bu%C4%8Dar%20et%20al.%202018,
Slovene sentiment lexicon KSS 1.1,http://hdl.handle.net/11356/1097,"90,620 lexica","lemmas, sentiment tags",CC-BY 4.0,Slovenian,This is a lexicon of sentiment labels available for download from the CLARIN.SI repository.,Download,http://hdl.handle.net/11356/1097,,,
Word embeddings CLARIN.SI-embed.sl 1.0,http://hdl.handle.net/11356/1204,"4,560,444 entries","PoS-tags, lemmas",CC-BY 4.0,Slovenian,This is a lexicon of word embeddings that is available for download from CLARIN.SI.,Download,http://hdl.handle.net/11356/1204,,,
Old Swedish morphology (2017-10-16),http://hdl.handle.net/10794/25,"41,958 entries",,CC-BY 4.0,Swedish,This is a glossary of Old Swedish that is available for download from the SWE-CLARIN repository and can be queried online through KARP.,,https://spraakbanken.gu.se/karp/#?mode=oldswedish&resources=fsvm#SEPhttp://hdl.handle.net/10794/25,,,
Parole+ (2017-10-16),http://hdl.handle.net/10794/33,"24,523 entries",,CC-BY 4.0,Swedish,This is a lexicon for language technologies which offers access to syntactic information and is connected to SALDO senses. The resource can be download from the SWE-CLARIN repository and can be queried online through KARP.,Browse#SEPDownload,https://spraakbanken.gu.se/karp/#?mode=DEFAULT&resources=parolelexplus#SEPhttp://hdl.handle.net/10794/33,,,
SALDO's morphology (2017-10-16),http://hdl.handle.net/10794/36,"128,036 entries",,CC-BY 4.0,Swedish,This is a semantic and morphological lexicon for language technologies. The resource can be download from the SWE-CLARIN repository and can be queried online through KARP.,Browse#SEPDownload,"https://spraakbanken.gu.se/karp/#?mode=saldo&resources=saldo,saldom,saldoe#SEPhttp://hdl.handle.net/10794/36",,,
Simple lexicon,http://hdl.handle.net/10794/38,"11,624 entries",,CC-BY 4.0,Swedish,This is a semantic lexicon that is available for download from the SWE-CLARIN repository and can be queried online through KARP.,Browse#SEPDownload,https://spraakbanken.gu.se/swe/resurs/simple#SEPhttp://hdl.handle.net/10794/38,,,
