"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"The Dresden Corpus";"http://hdl.handle.net/10.21415/T52G75";"Czech";;"audio/transcription linking";"public (acknowledgment required)";;"The corpus contains speech recordings of ~32 German children learning Czech (type of study: interview).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Czech/Dresden#SEPhttp://hdl.handle.net/10.21415/T52G75";"Kubanek-German (2000)";"https://www.clarin.eu/resource-families/L2-corpora#Kubanek-German%202000";
"The Anglish Corpus ";"https://hdl.handle.net/11403/sldr000731/v2";"English";;"interpausal units";"CLARIN RES";;"This corpus contains various speech tasks performed by French native speakers and the associated transcriptions.#SEPThe corpus is available for download from Ortolang.";"L2 learner corpora";"Download";"http://hdl.handle.net/11403/sldr000731/v2";;;
"The Barcelona English Language Corpus";"http://hdl.handle.net/10.21415/T5S89C";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of Spanish children and teenagers learning English in Barcelona. across 4 tasks (written composition, oral narrative, oral interview and role play).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/BELC#SEPhttp://hdl.handle.net/10.21415/T5S89C";"Muñoz (2006)";"https://www.clarin.eu/resource-families/L2-corpora#Mu%C3%B1oz%202006";
"The Barraja-Rohan Corpus";"http://hdl.handle.net/10.21415/T5KD74";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of adult international students who spoke English as a second language and who had newly arrived at an Australian university. These undergraduate international students from various Asian backgrounds interacted over a period of seven months with Australian graduate students who were native speakers of English.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/Barraja-Rohan#SEPhttp://hdl.handle.net/10.21415/T5KD74";"Barraja-Rohan (2013)";"https://www.clarin.eu/resource-families/L2-corpora#Barraja-Rohan%202013";
"The Connolly Corpus";"http://hdl.handle.net/10.21415/T5R591";"English";;"audio/transcription linking";"public (acknowledgment required)";;"The corpus contains speech recordings of 60 Japanese high school students learning English.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/Connolly#SEPhttp://hdl.handle.net/10.21415/T5R591";;;
"The CUHK corpus";"http://hdl.handle.net/10.21415/T5761P";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 6 children learning English in Hong Kong.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/CUHK#SEPhttp://hdl.handle.net/10.21415/T5761P";"MacWhinney (2016)";"https://www.clarin.eu/resource-families/L2-corpora#MacWhinney%202016";
"The Dresden Corpus";"http://hdl.handle.net/10.21415/T5HS45";"English";;"audio/transcription linking";"public (acknowledgment required)";;"The corpus contains speech recordings of ~32 German children learning English (type of study: interview).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/Dresden#SEPhttp://hdl.handle.net/10.21415/T5HS45";"Kubanek-German (2000)";"https://www.clarin.eu/resource-families/L2-corpora#Kubanek-German%202000";
"GLBCC (Giessen - Long Beach Chaplin Corpus)";"http://hdl.handle.net/20.500.12024/2506";"English";"2472 words/transcript";;"CC-BY";;"This corpus contains film retellings performed by English and German native speakers.#SEPThe corpus is available for download from the University of Oxford Text archive. ";"L2 learner corpora";"Download";"http://hdl.handle.net/20.500.12024/2506";;;
"A Learners' Corpus of Reading Texts";"https://hdl.handle.net/11403/sldr000015/v2";"English";;;"CLARIN RES";;"This corpus contains unprepared readings by first-year students at an English department who speak French as a native language.#SEPThe corpus is available for download from Ortolang.";"L2 learner corpora";"Download";"https://hdl.handle.net/11403/sldr000015/v2";;;
"The Markee Corpus";"http://hdl.handle.net/10.21415/T51S56";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 3 students learning English as a second language.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/Markee#SEPhttp://hdl.handle.net/10.21415/T51S56";"Markee (2000)";"https://www.clarin.eu/resource-families/L2-corpora#Markee%202000";
