"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"TAITO: Written and Oral Data of the TAITO-project";"http://urn.fi/urn:nbn:fi:lb-2014073035";"English, French, German, Italian, Swedish";"";"";"Under Negotiation";"";"This corpus contains texts written by undergraduate students at the beginning of their studies and videotaped discussions.";"L2 learner corpora";"";"";"";"";""
"YKI National Certificates corpus";"http://urn.fi/urn:nbn:fi:lb-20140730131";"Italian,  Swedish, Spanish, English, Finnish, German, French, Russian";"";"";"CLARIN RES";"";"This corpus contains written and speech tasks.";"L2 learner corpora";"";"";"";"";""
