"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Dagny";"https://spraakbanken.gu.se/eng/resource/ub-kvt-dagny#tabs=information";"8.1 million tokens";"tokenized, PoS-tagged, parsed";"CC-BY";"";"Swedish";"This corpus contains articles from the newspaper <a href=""http://www.ub.gu.se/kvinn/digtid/03/"">Dagny</a> from 1886 to 1913.#SEPThe corpus is available for download from Språkbanken and can be accessed through the concordancer Korp.";"Newspaper corpora";"Concordancer#SEPDownload";"http://spraakbanken.gu.se/korp/?mode=all_hist#corpus=ub-kvt-dagny#SEPhttp://spraakbanken.gu.se/eng/resource/ub-kvt-dagny#tabs=information";"";"";""
"DN 1987";"https://spraakbanken.gu.se/eng/resource/dn1987";"5 million tokens";"tokenised, PoS-tagged, parsed, compounds";"CC-BY";"";"Swedish";"This corpus contains articles from the Swedish newspaper <a href=“http://dagens.dn.se/"">Dagens Nyheter</a> from 1987.#SEPThe corpus is available for download from Språkbanken and can be accessed through the concordancer Korp.";"Newspaper corpora";"Concordancer#SEPDownload";"https://spraakbanken.gu.se/eng/resource/dn1987#SEPhttp://spraakbanken.gu.se/eng/resource/dn1987";"";"";""
"GP 1994 and 2001-2011";"https://spraakbanken.gu.se/eng/resources";"271 million tokens";"tokenised, PoS-tagged, parsed, compounds";"CC-BY";"";"Swedish";"This corpus contains articles from the Swedish newspaper <a href=""http://www.gp.se/"">Göteborgsposten from 1994 and</a> from 2001 to  2011.#SEPThe corpus is available for download from Språkbanken and can be accessed through the concordancer Korp.";"Newspaper corpora";"Concordancer#SEPDownload";"https://spraakbanken.gu.se/korp/#?corpus=gp1994,gp2001,gp2002,gp2003,gp2004,gp2005,gp2006,gp2007,gp2008,gp2009,gp2010,gp2011,gp2012,gp2013&stats_reduce=word&cqp=%5B%5D#SEPhttp://spraakbanken.gu.se/eng/resources";"";"";""
"Hertha";"https://spraakbanken.gu.se/eng/resource/ub-kvt-hertha#tabs=information";"3.8 million tokens";"tokenized, PoS-tagged, parsed";"CC-BY";"";"Swedish";"This corpus contains articles from the newspaper <a href=""http://www.fredrikabremer.se/tidskriften-hertha/"">Hertha</a> from 1914 to 2015.#SEPThe corpus is available for download from Språkbanken and can be accessed through the concordancer Korp.";"Newspaper corpora";"Concordancer#SEPDownload";"http://spraakbanken.gu.se/korp/?mode=all_hist#corpus=ub-kvt-hertha#SEPhttp://spraakbanken.gu.se/eng/resource/ub-kvt-hertha#tabs=information";"";"";""
"Idun";"https://spraakbanken.gu.se/eng/resource/ub-kvt-idun";"2 million tokens";"tokenized, PoS-tagged, parsed";"";"";"Swedish";"This corpus contains articles from the newspaper <a href=""http://www.ub.gu.se/kvinn/portaler/kvinnotidskrifter/idun/"">Idun fr</a>om 1887 to 1917.#SEPThe corpus is available for download from Språkbanken and can be accessed through the concordancer Korp.";"Newspaper corpora";"Concordancer#SEPDownload";"http://spraakbanken.gu.se/korp/?mode=all_hist#corpus=ub-kvt-idun#SEPhttp://spraakbanken.gu.se/eng/resource/ub-kvt-idun";"";"";""
"Kvinnornas Tidning";"https://spraakbanken.gu.se/eng/resource/ub-kvt-kvt";"5.5 million tokens";"tokenized, PoS-tagged, parsed";"CC-BY";"";"Swedish";"This corpus contains articles from the newspaper <a href=""http://www.ub.gu.se/kvinn/digtid/09/"">Kvinnornas Tidning</a> for the period between 1921 and 1925.#SEPThe corpus is available for download from Språkbanken and can be accessed through the concordancer Korp.";"Newspaper corpora";"Concordancer#SEPDownload";"http://spraakbanken.gu.se/korp/?mode=all_hist#corpus=ub-kvt-kvt#SEPhttp://spraakbanken.gu.se/eng/resource/ub-kvt-kvt";"";"";""
"Morgonbris";"https://spraakbanken.gu.se/eng/resource/ub-kvt-morgonbris";"3.5 million tokens";"tokenized, PoS-tagged, parsed";"CC-BY";"";"Swedish";"This corpus contains articles from the newspaper <a href=""http://www.ub.gu.se/kvinn/digtid/05/"">Morgonbris</a> from 1904 to 1924. #SEPThe corpus is available for download from Språkbanken and can be accessed through the concordancer Korp.";"Newspaper corpora";"Concordancer#SEPDownload";"http://spraakbanken.gu.se/korp/?mode=all_hist#corpus=ub-kvt-morgonbris#SEPhttp://spraakbanken.gu.se/eng/resource/ub-kvt-morgonbris";"";"";""
"Rösträtt för Kvinnor";"https://spraakbanken.gu.se/eng/resource/ub-kvt-rostratt";"2.2 million tokens";"tokenized, PoS-tagged, parsed";"CC-BY";"";"Swedish";"This corpus contains articles from the newspaper <a href=""http://www.ub.gu.se/kvinn/digtid/04/"">Rösträtt för Kvinnor</a> from 1912 to 1919.#SEPThe corpus is available for download from Språkbanken and can be accessed through the concordancer Korp.";"Newspaper corpora";"Concordancer#SEPDownload";"http://spraakbanken.gu.se/korp/?mode=all_hist#corpus=ub-kvt-rostratt#SEPhttp://spraakbanken.gu.se/eng/resource/ub-kvt-rostratt";"";"";""
"Smittskydd";"https://spraakbanken.gu.se/eng/resource/smittskydd";"691,000 tokens";"tokenized, PoS-tagged, parsed";"CC-BY";"";"Swedish";"This corpus contains articles from the newspaper <a href=""http://www.liv.se/For-vardgivare-och-samarbeten1/Smittskydd-Varmland/Smittskydd/Nyheter-Smittskydd/"">Smittskyd</a> from 2002 to 2010.#SEPThe corpus is available for download from Språkbanken and can be accessed through the concordancer Korp.";"Newspaper corpora";"Concordancer#SEPDownload";"http://spraakbanken.gu.se/korp/#corpus=smittskydd#SEPhttp://spraakbanken.gu.se/eng/resource/smittskydd";"";"";""
"The Webbnyheter corpus";"https://spraakbanken.gu.se/eng/resource/webbnyheter2001";"272 million tokens";"tokenized, PoS-tagged, parsed";"CC-BY";"";"Swedish";"This corpus contains articles from various Swedish online newspapers from 2001 to 2013.#SEPThe corpus is available for download from Språkbanken and can be accessed through the concordancer Korp.";"Newspaper corpora";"Concordancer#SEPDownload";"http://spraakbanken.gu.se/korp/#corpus=webbnyheter2001#SEPhttp://spraakbanken.gu.se/eng/resource/webbnyheter2001";"";"";""
