"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Syntactic Reference Corpus of Medieval French";"http://hdl.handle.net/11022/1007-0000-0000-9D2B-0";"245,000 words";"syntactic parsing";"CLARIN ACA";;"French";"This corpus contains Old French texts.#SEPThe corpus is available for download from the IMS CLARIN-D repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11022/1007-0000-0000-9D2B-0";"Stein and Prévost (2013)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#Stein%20and%20Pr%C3%A9vost%202013";
"GRUG Parallel Treebank";"http://hdl.handle.net/11858/00-246C-0000-0006-C150-9";"10,400 sentence pairs";"syntactic parsing, PoS tagging";"CC-BY";;"Georgian, Ukranian, Russian, German";"The corpus is syntactically parsed following the <a href=""https://www.lrde.epita.fr/~tiger/tiger.split/Syntactic-Specifications.html"">TIGER guidelines</a>.#SEPThe corpus is available for download from a dedicated website provided by the CLARIN-D consortium.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11858/00-246C-0000-0006-C150-9";;;
"B4 Heliand";"http://hdl.handle.net/11022/0000-0000-9B24-9";"3495 tokens";"PoS tagging, syntactic parsing";"CC-BY";;"German";"This corpus contains historical German texts.#SEPThe corpus is available for download from the HZSK repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11022/0000-0000-9B24-9";;;
"Dependency-Annotated Subset of the CREG Corpus";"http://hdl.handle.net/11022/0000-0000-2CA4-6";"109 sentences";"PoS tagging, syntactic parsing";"CLARIN RES";;"German";"This corpus consists of answers to reading comprehension questions written by American college students learning German.#SEPThe corpus is available for download from the Tübingen CLARIN Repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11022/0000-0000-2CA4-6";;;
"Tübingen Treebank of Written German / Newspaper Corpus (TüBa-D/Z)";"https://uni-tuebingen.de/en/faculties/faculty-of-humanities/departments/modern-languages/department-of-linguistics/chairs/general-and-computational-linguistics/ressources/corpora/tueba-dz/";"1.9 million tokens";"syntactic parsing";"CLARIN RES";;"German";"This corpus contains newspaper articles.#SEPThe corpus is available for download from the Tübingen CLARIN Repository.";"Manually annotated corpora";"Download";"https://vlo.clarin.eu/record?7&docId=http_58__47__47_hdl.handle.net_47_11858_47_00-1778-0000-0005-896C-F&q=treebank+written+german&index=4&count=21";;;
"Szeged Treebank 2.0";"http://hdl.handle.net/11372/LRT-201";"82,000 sentences";"syntactic parsing";"<a href=""http://www.inf.u-szeged.hu/projectdirs/hlt/en/Sz.T.%202.0_licenc-en.doc"">licence agreement</a>";;"Hungarian";"This corpus is available for download from a dedicated webpage.";"Manually annotated corpora";"Download";"http://www.inf.u-szeged.hu/projectdirs/hlt/index_en.html";"Csendes et al. (2005)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#Csendes%20et%20al.%202005";
"Icelandic Parsed Historical Corpus (IcePaHC)";"http://hdl.handle.net/20.500.12537/62";"1 million tokens";"morphosyntactic tagging, lemmatisation, syntactic parsing";"GNU LGPL";;"Icelandic";"This corpus contains Icelandic texts from the 12th through the 21st centuries – approximately 100,000 words from each century. The corpus is syntactically parsed following the U<a href=""https://www.ling.upenn.edu/~beatrice/annotation/"">UPenn scheme for historical texts</a>e#SEPThe corpus is available for online search through treebankstudio.org and for download in different formats from a dedicated webpage.";"Manually annotated corpora";"Download#SEPConcordancer";"http://hdl.handle.net/20.500.12537/62#SEPhttp://treebankstudio.org/";"Rögnvaldsson et al. (2012)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#R%C3%B6gnvaldsson%20et%20al.%202012";
"LVTB - Latvian Treebank";"http://hdl.handle.net/20.500.12574/86";"289,791 tokens; 17,127 sentences";"syntactic parsing";"CC BY-SA 4.0";;"Latvian";"This treebank is manually annotated according to a hybrid dependency-constituency grammar.#SEPThe treebank is available for download from the CLARIN-LV repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/20.500.12574/86";"Rituma et al. (2023)";"https://doi.org/10.22364/vnf.10.16";
"Lithuanian Treebank ALKSNIS";"http://hdl.handle.net/20.500.11821/10";"2,355 sentences";"syntactic parsing";"CLARIN PUB";;"Lithuanian";"Syntactic parsing follows the rules of the <a href=""https://ufal.mff.cuni.cz/pdt/"">Prague Dependency Treebank</a>#SEPThis corpus is available for download from the CLARIN-LT repository. The second version is available upon request.";"Manually annotated corpora";"Download";"http://hdl.handle.net/20.500.11821/10";;;
"Polish Dependency Bank in Universal Dependency format";"http://zil.ipipan.waw.pl/PDB";"22,000 trees, 351,000 tokens";"syntactic parsing";"CC BY-NC-SA 4.0";;"Polish";"This corpus also contains sentences showing certain problematic syntactic phenomena – sentences with ellipsis, comparative constructions, constructions with the bi-functional subordinating conjunction <em>jako</em>, etc. The syntactic parsing follows the <a href=""http://universaldependencies.org/guidelines.html"">Universal Dependencies</a> schema.#SEPThe first version of the corpus is available for download from the Computational Linguistics in Poland website. The second version is available upon request.";"Manually annotated corpora";"Download";"http://zil.ipipan.waw.pl/PDB?action=AttachFile&do=view&target=NKJP1M_Skladnica_sem.conll";"Wróblewska (2018)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#Wr%C3%B3blewska%202018";
"CINTIL DependencyBank";"https://hdl.handle.net/21.11129/0000-000B-D31C-8";"110,000 tokens";"morphosyntactic tagging and syntactic parsing";"MS-NC-No ReD-ND ";;"Portuguese";"This corpus contains literary and newspaper texts.#SEPThe corpus is available for download from the PORTULAN CLARIN repository.";"Manually annotated corpora";"Download";"https://hdl.handle.net/21.11129/0000-000B-D31C-8";;;
"CINTIL TreeBank";"https://hdl.handle.net/21.11129/0000-000B-D2FE-A";"110,000 tokens";"syntactic parsing";"MS-NC-No ReD-ND ";;"Portuguese";"This corpus contains literary and newspaper texts.#SEPThe corpus is available for download from the PORTULAN CLARIN repository.";"Manually annotated corpora";"Download";"https://hdl.handle.net/21.11129/0000-000B-D2FE-A";;;
"CINTIL-DeepBank";"https://hdl.handle.net/21.11129/0000-000B-D34F-F";"110,000 tokens";"PoS-tagging, syntactic parsing, grammatical functions, logical forms";"MS-NC-No ReD-ND ";;"Portuguese";"This corpus contains literary and newspaper texts.#SEPThe corpus is available for download from the PORTULAN CLARIN repository.";"Manually annotated corpora";"Download";"https://hdl.handle.net/21.11129/0000-000B-D34F-F";;;
"CINTIL-PropBank";"https://hdl.handle.net/21.11129/0000-000B-D300-6";"110,000 tokens";"syntactic parsing and phrase semantic roles";"MS-NC-No ReD-ND ";;"Portuguese";"This corpus contains literary and newspaper texts.#SEPThe corpus is available for download from the ELRA catalogue.";"Manually annotated corpora";"Download";"https://hdl.handle.net/21.11129/0000-000B-D300-6";;;
"Training corpus SETimes.SR 1.0";"http://hdl.handle.net/11356/1200";"87,000 tokens";"tokenisation, sentence segmentation, morphosyntactic tagging, lemmatisation, syntactic parsing, and Named Entity recognition";"CC BY-SA 4.0";;"Serbian";"This corpus contains posts from the Southeast European Times news portal, which is now defunct. The syntactic parsing follows the <a href=""http://universaldependencies.org/"">Universal Dependencies</a> framework.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.";"Manually annotated corpora";"KonText#SEPnoSketch#SEPDownload";"https://www.clarin.si/kontext/first_form?corpname=setimes_sr#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=setimes_sr&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1200";;;
"Tamil Dependency Treebank v0.1";"http://hdl.handle.net/11234/1-1453";"600 sentences";"syntactic parsing and morphosyntactic tagging";"CC BY-NC-SA 3.0";;"Tamil";"The syntactic parsing follows the rules of the https://ufal.mff.cuni.cz/pdt/.#SEPThe corpus is available for download from the LINDAT repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11234/1-1453";;;
"HamleDT 3.0";"http://hdl.handle.net/11234/1-1508";"19 treebanks";"syntactic parsing and morphosyntactic tagging";"HamleDT 3.0 Licence Terms";;"19 languages";"This treebank collection is available for download from LINDAT.#SEPThe treebanks can be individually queried through KonText and the treebank tool PML-TQ. We list them here by language:#SEP<ol>                                <li>Arabic(<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_ar_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_ar"">PML-TQ</a>)</li>                                <li>Bengali (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_bn_a"">KonText</a>)</li>                                <li>Catalan (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_ca_a"">KonText</a>)</li>                                <li>Czech (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_cs_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_cs"">PML-TQ</a>)</li>                                <li>Dutch (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_nl_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_nl"">PML-TQ</a>)</li>                                <li>English (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_en_a"">KonText</a>)</li>                                <li>Estonian (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_et_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_et"">PML-TQ</a>)</li>                                <li>German (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_de_a"">KonText</a>)</li>                                <li>Greek (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_grc_a"">KonText</a>)</li>                                <li>Hindi (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_hi_a"">KonText</a>)</li>                                <li>Latin (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_la_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_la"">PML-TQ</a>)</li>                                <li>Persian (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_fa_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_fa"">PML-TQ</a>)</li>                                <li>Polish (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_pl_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_pl"">PML-TQ</a>)</li>                                <li>Portuguese (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_pt_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_pt"">PML-TQ</a>)</li>                                <li>Romanian (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_ro_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_ro"">PML-TQ</a>)</li>                                <li>Russian (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_ru_a"">KonText</a>)</li>                                <li>Slovenian (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_sl_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_sl"">PML-TQ</a>)</li>                                <li>Spanish (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_es_a"">KonText</a>)</li>                                <li>Tamil (<a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hamledt_30_ta_a"">KonText</a>, <a href=""https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/hamledt_ta"">PML-TQ</a>)</li>                        </ol> ";"Manually annotated corpora";"Download";"http://hdl.handle.net/11234/1-1508";"Zeman et al. (2012)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#Zeman%20et%20al.%202012";
"Treebanks of INESS";"http://clarino.uib.no/iness/page";"532 treebanks";"syntactic parsing";"CC-BY";;"71 languages";"This is a collection of treebanks made available through the Infrastructure for the <em>Exploration of Syntax and Semantics</em> (INESS).#SEPThe corpora are available for online querying through INESS.";"Manually annotated corpora";;;"Rosén et al. (2012)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#Ros%C3%A9n%20et%20al.%202012";
