Corpus,Language,Size,Annotation,Licence,Description,Availability,Repository,Publication,Note
NorGramBank – Fiction in Norwegian Bokmål,Norwegian,"26,903,637 words, 2,469,916 sentences",syntactically parsed,CLARIN ACA,,Online,CLARINO,,INESS
NorGramBank fiction in Norwegian Nynorsk,Norwegian,"2,884,376 words; 260,285 sentences",syntactically parsed,CLARIN ACA,,Online,CLARINO,,INESS
NorGramBank children’s fiction in Norwegian Bokmål,Norwegian,"4,111,213 words; 389,564 sentences",syntactically parsed,CLARIN ACA,,Online,CLARINO,,INESS
NorGrambank children's fiction in Norwegian Nynorsk,Norwegian,"1,043,260 words; 106,434 sentences",syntactically parsed,CLARIN ACA,,Online,CLARINO,,INESS
LT Corpus,Portuguese,"1,781,083 words",,CLARIN RES,70 copyright-free classics (61 Portugal and 9 from Brazil) published before 1940.,Download,PORTULAN,,
"Classics of Finnish Literature, Kielipankki Version",Finnish,1.5 million words,,EUPL v.1.1 SA,"Works of established Finnish authors published from 1880s to 1949. Includes 
prose fiction, plays, poetry and aphorisms, some written originally in 
Swedish.",Available Through Interface,FIN-CLARIN,,"(NB: Some outdated metadata of the same resource is apparently available via LINDAT, http://hdl.handle.net/11372/LRT-773, which should be disregarded.)"
Anthology of Middle English texts / Santiago Gonzalez y Fernandez-Corugedo,"English (Middle), Hebrew",Size: 4000 words,None,Oxford Text Archive licence,literary texts from 1100 to 1400.,Download,Oxford Text Archive,,
Finnish Folk Poetry,"Finnish, Karelian, Ludian, Latin, Swedish, Olonets, Izhorian, Votic",7.1 million words,,CC-BY-NC,poems from 1564 to 1939.,Concordancer,FIN-CLARIN,,Interface:Korp
Classics Library of the National Library of Finland - Kielipankki version,"Finnish, Swedish",,,CC-BY,literary texts from 1549 to 1944.,Accessible Through Interface; Download,FIN-CLARIN,,Interface:Korp
Complete Corpus of Anglo-Saxon Poetry,English (Old),,None,,,Online,LINDAT,External interface,
York-Helsinki Parsed Corpus of Old English Poetry,English (Old),"71,490 words",Syntactically and morphologically annotated,Restricted,"A selection of poetic texts (71,490 words) from the Old English Section of the Helsinki Corpus of English Texts, syntactically and morphologically annotated.",Download,Oxford Text Archive,,
Electronic corpus of 15th-century Castilian cancionero manuscripts,Spanish (not listed specified though),,,Restricted,"Dutton lyric corpus of 15th century cancioneros, and the Severin-Maguire corpus of didactic poetry (15th century Castilian cancionero poetry)",Online,LINDAT,External interface,
République-Bastille (1948-1949). ,French,"37,965 Words",n/a,CC-BY,"Novel by Melpo Axioti, République-Bastille (1948-1949), Mary Mike ed. (Thessaloniki, 2014). The French text is of particular linguistic interest since it is a text written in a language other than the mother tongue and is suited for research on bilingualism and self-translation. It would be worth measuring the naturalness of the language with computational tools, for example.",Download,CLARIN:EL,,
aformes,"Modern Greek, English","376,250 Words",n/a,CC-BY-NC,A journal of undergraduate creative writing of the Faculty of English Language and Literature. ,Online,CLARIN:EL,,
Greek Medieval Texts,"Greek, Ancient (to 1453)
 Greek, Modern (1453 - )",3.419.553 Words,n/a,CC - BY - NC,"The Corpus of medieval texts contains written material covering the period from the 4th till the 16th century A.D. The texts can be classified into the following categories: religious, poetical-literary, political-historical, hymns, epigrams.",Download,CLARIN:EL,,
Classics of English and American Literature in Finnish (CEAL),Finnish,3 novels,Syntactically and morphologically annotated,CLARIN RES +NC,"The corpus contains the Finnish translations of the following three texts: Jane Austen: Ylpeys ja ennakkoluulo (Pride and Prejudice), translated by Kersti Juva, Teos 2013; Henry James: Washingtonin aukio (Washington Square), translated by Kersti Juva, Otava 2003; Charles Dickens: Kolea talo (Bleak House), translated by Kersti Juva, Tammi, 2006. ",Accessible Through Interface; Download,FIN-CLARIN,,Variants of the same content are available via Korp and for download.
The Finnish Gutenberg Corpus,Finnish,"34,487,420 words",n/a,CC BY,The corpus contains Finnish books made available by the Gutenberg project. The texts have not been linguistically annotated.,Accessible Through Interface,FIN-CLARIN,,Interface:Korp
Aleksis Kivi Corpus (SKS),"Finnish, Swedish",413735 words,"Syntactically, morphologically and semantically annotated",CC BY NC,"All the known letters, manuscripts and published works by Finnish author Aleksis Kivi (1834–1872). Most of the texts were written in Finnish while some of the letters and  manuscripts are in Swedish. Time coverage of the texts: 1855-1871.",Accessible Through Interface,FIN-CLARIN,,Interface:Korp
"ParRus 2016, Russian-Finnish Parallel Corpus of Literary Texts","Finnish, Russian","5,900,000 Tokens",Syntactically and morphologically annotated,CLARIN RES +NC +INF +ND,Russian literary texts (classical literature & 20th century) and their translations into Finnish aligned at paragraph level.,Accessible Through Interface,FIN-CLARIN,,Interface:Korp
"ParFin 2016, Finnish-Russian Parallel Corpus of Literary Texts","Finnish, Russian","2,044,172 Tokens",Syntactically and morphologically annotated,CLARIN RES +NC +INF +ND,The corpus contains Finnish literary texts from 1990-2010 and their translations into Russian aligned at sentence level.,Accessible Through Interface,FIN-CLARIN,,Interface:Korp
The Morpho-Syntactic Database of Mikael Agricola's Works,Finnish,"83,678 Sentences, 428,314 Tokens, 38,308 Words",Syntactically and morphologically annotated,CC BY ND,"The Morpho-Syntactic Database of Mikael Agricola's Works contains the Finnish parts of Mikael Agricola’s works (Abckiria, Rukouskiria, Se Wsi testamenti, Käsikiria, Messu,  Piina, Psaltari, Veisut, Profeetat)",Accessible Through Interface,FIN-CLARIN,,Interface:Korp
North Saami Corpus (Literature) (UHLCS),North Saami,"17,830 Words",n/a,CLARIN RES +NC +NORED +PLAN,The North Saami Corpus  contains Kerttu Vuolab's novel Cheppari cháráhus written in Northern Sami.,Accessible Through Interface,FIN-CLARIN,,"taito-shell.csc.fi,"
