Corpus;Corpus_URL;Language;Size;Annotation;Licence;Licence_URL;Description;Family;Buttons;Buttons_URL;Publication;Publication_URL;Note
Czech Sociological Review;https://hdl.handle.net/11372/LRT-2703;Czech;3 million words;;MIT;;This corpus contains research papers in sociology published between 1993 and 2016. The corpus data are in the TSV format.#SEPThe corpus is available for download from the LINDAT repository.;Academic corpora;Download;http://hdl.handle.net/11372/LRT-2703;;;
ACL Anthology Reference Corpus;https://hdl.handle.net/10.35111/rfeg-z495;English;75 million tokens;PoS-tagged, lemmatised, author/text metadata;CC BY SA;;This corpus contains research papers in computational linguistics published between 1979 and 2015. The corpus data are in the XML format.#SEPThe corpus is available for online querying through the Sketch Engine (log-in required) and for download from a dedicated website.;Academic corpora;Concordancer#SEPDownload;https://www.sketchengine.eu/acl-anthology-reference-corpus-arc/#SEPhttps://doi.org/10.35111/rfeg-z495;Bird et al. 2008;https://acl-arc.comp.nus.edu.sg/lrec08.pdf;
English Scientific Text Corpus;http://hdl.handle.net/11858/00-246C-0000-0023-8CF9-6;English;35 million tokens;PoS-tagged, lemmatised, author/text metadata, document structure;restricted;;This corpus contains journal articles in the following disciplines:#SEP<ul><li>computer science,</li><li>computational linguistics,</li><li>informatics,</li><li>digital construction,</li><li>microelectronics,</li><li>linguistics,</li><li>biology,</li><li>mechanical engineering, and</li><li>electrical engineering.</li></ul>#SEPThe articles were published in the 1970s, 1980s and the 200s.#SEPThe corpus is available for online querying through CQPWeb (CLARIN-D distribution).;Academic corpora;Concordancer;https://hdl.handle.net/11858/00-246C-0000-0023-8CF9-6;Degaetano-Ortlieb et al. 2013;https://nbn-resolving.org/urn:nbn:de:bsz:mh39-49336;
GENIA corpus;http://www.geniaproject.org/genia-corpus;English;437,000 words;"PoS-tagged, syntactically parsed, annotated for terms, events, semantic relations and coreference; text metadata";free but unspecified;;This corpus contains journal paper abstracts in biomedicine. The corpus data are in various formats, e.g., PTB.#SEPThe corpus is available for download from PORTULAN.;Academic corpora;Download;http://www.geniaproject.org/genia-corpus;Su et al. 2008;http://drops.dagstuhl.de/opus/volltexte/2008/1522/pdf/08131.SuJian.ExtAbstrac.1522.pdf;
UH's English E-thesis corpus;http://urn.fi/urn:nbn:fi:lb-2016102401;English;200 million tokens;PoS-tagged, syntactically parsed;CC BY;;This corpus contains MA and PhD theses published between 1999 and 2016.#SEPThe corpus is available for online querying through the concordancer Korp (FIN-CLARIN distribution).;Academic corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-2016102101;;;
The Royal Society Corpus;http://hdl.handle.net/21.11119/0000-0001-7E8B-6;English (late and early modern);32 million tokens;PoS-tagged, lemmatised, normalised, author and document metadata;CC BY;;"This corpus contains journal articles published in <a href=""http://rstl.royalsocietypublishing.org/"">Philosophical Transactions of the Royal Society of London</a> between 1665 and 1869.#SEPThe corpus is available for online querying through CQPweb and for download from the CLARIN-D repository of the University of Saarland.";Academic corpora;Concordancer#SEPDownload;http://fedora.clarin-d.uni-saarland.de/rsc_v4/access.html#cqpweb#SEPhttp://fedora.clarin-d.uni-saarland.de/rsc_v4/access.html#download;Kermes et al. 2016;http://www.lrec-conf.org/proceedings/lrec2016/summaries/792.html;
Corpus of Estonian scientific texts;http://hdl.handle.net/11297/1-00-0000-0000-0000-0002-4;Estonian;5 million words;;CLARIN ACA-NC;;This corpus contains scientific articles and PhD theses. The corpus data are in the P5 format.;Academic corpora;Download;http://hdl.handle.net/11297/1-00-0000-0000-0000-0002-4;;;
UH's Finnish E-thesis corpus;http://urn.fi/urn:nbn:fi:lb-2016090601;Finnish;12.5 million tokens;PoS-tagged, lemmatised;CC BY;;This corpus contains MA and PhD theses published between 1999 and 2016.#SEPThe corpus is available for online querying through the concordancer Korp (FIN-CLARIN distribution).;Academic corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-2016101801;;;
Chambers-Le Baron Corpus of Research Articles;http://hdl.handle.net/20.500.14106/2527;French;1 million words;No annotation;Oxford Text Archive licence (academic use);;This corpus contains research papers in the following disciplines:#SEP<ul><li>media/culture,</li><li>literature,</li><li>linguistics and language learning,</li><li>social anthropology,</li><li>law, economics,</li><li>sociology and social sciences,</li><li>philosophy,</li><li>history, and</li><li>communication.</li></ul>#SEPThe research papers were published between 1998 and 2006. This is a plain text corpus.#SEPThe corpus is available for download from the Oxford Text Archive.;Academic corpora;Download;http://hdl.handle.net/20.500.14106/2527;;;
UH's French E-thesis corpus;http://urn.fi/urn:nbn:fi:lb-2016102806;French;580,000 tokens;;CC BY;;This corpus contains MA and PhD theses published between 1999 and 2016.#SEPThe corpus is available for online querying through the concordancer Korp (FIN-CLARIN distribution).;Academic corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-2016102803;;;
UH's German E-thesis corpus;http://urn.fi/urn:nbn:fi:lb-2016102807;German;560,000 tokens;No annotation;CC BY;;This corpus contains MA and PhD theses published between 1999 and 2016.#SEPThe corpus is available for online querying through the concordancer Korp (FIN-CLARIN distribution).;Academic corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-2016102802;;;
Modern Greek Dialects: scientific papers;http://hdl.grnet.gr/11500/KEG-0000-0000-2502-4;Greek;113,000 words;;CC-BY-SA;;This corpus contains scientific texts in linguistics and dialectology. This is a plain text corpus.#SEPThe corpus is available for download from the CLARIN:EL repository.;Academic corpora;Download;http://hdl.grnet.gr/11500/KEG-0000-0000-2502-4;;;
OROSSIMO Corpus;http://hdl.grnet.gr/11500/ATHENA-0000-0000-2410-5;Greek;2.5 million tokens;"marked for term candidates, ""mixed structural annotation""";CC-BY;;This corpus contains academic texts in the following disciplines:#SEP<ul<li>social sciences,</li><li>computer science,</li><li>economics,</li><li>linguistics,</li><li>photography,</li><li>law,</li><li>engineering,</li><li>history,</li><li>astronomy,</li><li>earth sciences and geology,</li><li>medicine and health, and</li><li>biology.</li></ul>#SEPThe corpus is encoded in XML (XCES).#SEPThe corpus is available for download from the CLARIN:EL repository.;Academic corpora;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-2410-5;Mantzari et al. 1999;http://www.ilsp.gr/en/research/publications?view=publication&task=show&id=328;
The Language of Literature and the Language of Translation (collected scientific papers);http://hdl.grnet.gr/11500/KEG-0000-0000-24F2-6;Greek;48,300 words;;CC-BY-SA;;This corpus contains journal articles in literary and translation studies. This is a plain text corpus.#SEPThe corpus is available for download from the CLARIN:EL repository.;Academic corpora;Download;http://hdl.grnet.gr/11500/KEG-0000-0000-24F2-6;;;
UH's Russian E-thesis corpus;http://urn.fi/urn:nbn:fi:lb-2016102808;Russian;1.1 million words;No annotation;CC BY;;This corpus contains MA and PhD theses published between 1999 and 2016.#SEPThe corpus is available for online querying through the concordancer Korp (FIN-CLARIN distribution).;Academic corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-2016102805;;;
Corpus of Academic Slovene KAS 2.0;http://hdl.handle.net/11356/1448;Slovenian;1.5 billion tokens;MSD-tagged, lemmatised, marked for bilingual and monolingual term candidates;CLARIN.SI Licence ACA ID-BY-NC-INF-NORED 1.0;;"This corpus contains BA, MA, and PhD theses in humanities, social sciences, and natural sciences published between 2000 and 2018. The corpus data are in the TEI format.#SEPThe corpus is available for download from CLARIN.SI. Version 1.0 is also available for online querying through <a href=""https://www.clarin.si/noske/run.cgi/corp_info?corpname=kas&struct_attr_stats=1&subcorpora=1"">noSketch Engine</a> and <a href=""https://www.clarin.si/kontext/first_form?corpname=kas"">KonText</a> (CLARIN.SI distribution).";Academic corpora;Download;http://hdl.handle.net/11356/1448;Erjavec et al. 2020;https://doi.org/10.1007/s10579-020-09506-4;
UH's Spanish E-thesis corpus;http://urn.fi/urn:nbn:fi:lb-2016102809;Spanish;2.3 million tokens;No annotation;CC BY;;This corpus contains MA and PhD theses published between 1999 and 2016.#SEPThe corpus is available for online querying through the concordancer Korp (FIN-CLARIN distribution).;Academic corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-2016102804;;;
Academic texts - humanities;http://hdl.handle.net/10794/49;Swedish;14.5 million tokens;;CC BY;;This corpus contains academic texts from humanities disciplines published between 1997 and 2012. The corpus data are in the XML format and plain text.#SEPThe corpus is available for download from the SWECLARIN repository and for online querying through the concordancer Korp (SWECLARIN distribution).;Academic corpora;Concordancer#SEPDownload;https://spraakbanken.gu.se/korp/?corpus=sweachum#SEPhttp://hdl.handle.net/10794/49;;;
Academic texts - social science;http://hdl.handle.net/10794/50;Swedish;10.8 million tokens;sentence segmentation;CC BY;;This corpus contains academic texts from social sciences disciplines published between 1997 and 2012. The corpus data are in the XML format and plain text.#SEPThe corpus is available for download from the SWECLARIN repository and for online querying through the concordancer Korp (SWECLARIN distribution).;Academic corpora;Concordancer#SEPDownload;https://spraakbanken.gu.se/korp/?corpus=sweacsam#SEPhttp://hdl.handle.net/10794/50;;;
UH's Swedish E-thesis corpus;http://urn.fi/urn:nbn:fi:lb-2016102810;Swedish;105 million tokens;;CC BY;;This corpus contains MA and PhD theses published between 1999 and 2016.#SEPThe corpus is available for online querying through the concordancer Korp (FIN-CLARIN distribution).;Academic corpora;Concordancer;http://urn.fi/urn:nbn:fi:lb-2016102801;;;
Corpus of Slovene linguistic scientific writing JezKor;http://hdl.handle.net/11356/1755;Slovenian;9.3 million tokens;PoS-tagged (UD), MSD-tagged (UD & MULTEXT-East), lemmatised, annotated for named entities and author/text metadata;CC BY;;"This corpus contains a collection of linguistic scientific writing in the Slovenian language. It consists of 43 monographs published between 2009 and 2022 by Fran Ramovš institute of Slovenian language and Založba ZRC, 267 papers published in the journal ""Jezikoslovni zapiski"" and 28 papers published in the journal ""Slovenski jezik"". Note that the texts were obtained directly from PDFs, so they contain various types of noise.#SEPThe corpus is linguistically annotated with the CLASSLA pipeline (https://github.com/clarinsi/classla) on the levels lemmatisation, MULTEXT-East Version 6 morphosyntactic descriptions, Universal Dependencies part-of-spech and morphological features, and named entities. It is distributed in CoNLL-U and vertical file format, one file for each text. Text metadata consists of the author(s), title and year of publication.#SEPThe corpus is available for download from the CLARIN.SI repository as well as for online browsing through the noSketch Engine and KonText concordancers.";Academic corpora;Concordancer (noSketchEngine)#SEPConcordancer (noSketchEngine)#SEPDownload;https://www.clarin.si/ske/#dashboard?corpname=jezkor#SEPhttps://www.clarin.si/kontext/query?corpname=jezkor#SEPhttp://hdl.handle.net/11356/1755;;;
Corpus of scientific texts from the Open Science Slovenia portal OSS 1.0;http://hdl.handle.net/11356/1774;Slovenian;326 million tokens;PoS-tagged (UD), MSD-tagged (UD & MULTEXT-East), lemmatised, annotated for named entities and author/text metadata;CC BY-SA;;"This corpus contains a large collection of scientific writing in the Slovenian language gathered from the <a href=""https://openscience.si"">Open Science Slovenia portal</a>. It consists of over 150 thousand monographs, articles, diploma, master's and doctoral theses, advanced textbooks, reviews etc. mostly published between 2000 and 2022 by Slovenian universities, research institutions, etc. Texts are accompanied by metadata, i.e. author, supervisor (for theses), year of publication, publisher (mostly faculties of the various universities), type of publication (according to SICRIS classification), keywords, and CERIF and UDC codes. The texts were obtained directly from PDFs, so it should be noted that they can contain various types of character noise. The texts are linguistically annotated with the <a href=""https://github.com/clarinsi/classla"">CLASSLA pipeline</a> on the levels lemmatisation, MULTEXT-East Version 6 morphosyntactic descriptions, Universal Dependencies part-of-spech and morphological features, and named entities. The corpus is distributed in CoNLL-U and vertical file formats, one file for each text. The text metadata is given as a TSV file.#SEPNote that there exist similar, but older and smaller corpora <a href=""http://hdl.handle.net/11356/1448"">KAS 2.0</a> and <a href=""http://hdl.handle.net/11356/1244"">KAS 1.0</a>. These contain only theses and only up to 2018, but are cleaner and with more metadata. The repository also archives a number of KAS-derived datasets; pls. search for ""KAS"" to find them.#SEPThe corpus is available for download from the CLARIN.SI repository as well as for online browsing through the noSketch Engine and KonText concordancers.";Academic corpora;Concordancer (noSketchEngine)#SEPConcordancer (noSketchEngine)#SEPDownload;https://www.clarin.si/ske/#dashboard?corpname=oss10zkorhttps://www.clarin.si/kontext/query?corpname=oss10;;;
