Corpus,Corpus_URL,Language,Size,Annotation,Licence,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
The Anglish Corpus ,https://hdl.handle.net/11403/sldr000731/v2,English,,interpausal units,,This corpus contains various speech tasks performed by French native speakers and the associated transcriptions.#SEPThe corpus is available for download from Ortolang.,Download,http://hdl.handle.net/11403/sldr000731/v2,,,
GLBCC (Giessen - Long Beach Chaplin Corpus),https://ota.ox.ac.uk/headers/2506.xml,English,2472 words/transcript,,CC-BY,This corpus contains film retellings performed by English and German native speakers.#SEPThe corpus is available for download from the University of Oxford Text archive. ,Download,http://ota.ox.ac.uk/headers/2506.xml,,,
ISLE Speech Corpus,https://catalog.elra.info/en-us/repository/browse/isle-speech-corpus/16ab6156a9da11e7a093ac9e1701ca025183819723c049a49ecb32d1517a9e05/,English,approx. 18 hours,"phone-level annotation, stress errors",ELRA END USER,"This corpus contains various speech tasks (reading simple sentences, using minimal pairs, giving answers to multiple choice questions) performed by German and Italian native speakers.#SEPThe corpus is available for download from the ELRA catalogue.",Download,http://catalog.elra.info/en-us/repository/browse/isle-speech-corpus/16ab6156a9da11e7a093ac9e1701ca025183819723c049a49ecb32d1517a9e05/,,,
A Learners' Corpus of Reading Texts,https://hdl.handle.net/11403/sldr000015/v2,English,,,CLARIN RES,This corpus contains unprepared readings by first-year students at an English department who speak French as a native language.#SEPThe corpus is available for download from Ortolang.,Download,https://hdl.handle.net/11403/sldr000015/v2,,,
French Learner Language Oral Corpora (FLLOC),https://ota.ox.ac.uk/headers/2495.xml,French,1375 transcripts,MSD-tagged,CC-BY,This corpus contains various narrative and interactive speech tasks performed by English and Dutch native speakers.#SEPThe corpus is available for download from the University of Oxford Text Archive.,Download,http://ota.ox.ac.uk/headers/2495.xml,,,
Hamburg Modern Times Corpus,http://hdl.handle.net/11022/0000-0000-6973-9,German,"24,000 words",prosody,CLARIN RES,This corpus contains film retellings and the accompanying transcriptions.,,,,,
LANGMAN,http://vlo.clarin.eu/?q=LANGMAN,Hungarian,,,CC-BY,"The <a class=”lexicon-term” href=”https://www.clarin.eu/glossary#VLO” title=”Virtual Language Observatory See: http://www.clarin.eu/vlo”>VLO</a> lists 11 subcorpora of LANGMAN, which is a spoken corpus involving Chinese native speakers who learn Hungarian as a second language.#SEPThe subcorpora are available for download from the VLO.",Download,http://vlo.clarin.eu/?q=LANGMAN,,,
