"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"AixOx";"https://hdl.handle.net/11403/sldr000784/v1";"English and French";"40 minutes/task";"";"restricted";"This corpus contains readings of written texts performed by French and English native speakers.";"L2 learner corpora";"";"";"";"";""
"LeaP: The Learning the Prosody of a Foreign Language";"https://hdl.handle.net/1839/00-0000-0000-000A-3D5E-1";"English and German";"31 hours";"PoS-tagged, lemmatised, prosody";"";"This corpus contains recordings of English and German spoken by non-native speakers from 31 different native language backgrounds.#SEP The corpus is available for download from the Language Archive.";"L2 learner corpora";"Download";"https://hdl.handle.net/1839/00-0000-0000-000A-3D5E-1";"";"";""
"Repiso/Contrefactualité";"https://hdl.handle.net/11403/sldr000843/v1";"French, Italian, Spanish";"";"";"CLARIN RES";"This corpus contains recordings of counterfactual sentences.";"L2 learner corpora";"";"";"";"";""
"Openprodat";"https://hdl.handle.net/11403/openprodat/v2";"Dutch, English, French, German, Italian, Arabic, Spanish, Hungarian, Japanese, Thai, Norwegian, Chinese";"";"";"Publique Générale GNU";"This corpus contains paragraph readings by participants in both their L1 and in as many L2 as they felt they could manage.#SEPThe corpus is available for download from Ortolang.";"L2 learner corpora";"Download";"https://hdl.handle.net/11403/openprodat/v2";"Hirst et al 2013";"https://www.clarin.eu/resource-families/L2-corpora#Hirst%20et%20al.%202013";""
"GeWiss";"https://gewiss.uni-leipzig.de/index.php?id=home&L=1";"German (L2 and L1), English, Polish, Italian (L1)";"1.4 million tokens";"code switching";"";"This corpus contains L1 and L2 transcripts and audio recordings of spoken German academic discourse, as well as L1 data of spoken English, Polish, and Italian academic discourse.  ";"L2 learner corpora";"Concordancer";"https://gewiss.uni-leipzig.de/index.php?id=full_texts&L=1";"Fandrych et al. (2014)";"https://gewiss.uni-leipzig.de/fileadmin/documents/Fandrych%20et%20al.%20%282014%29%20Inhalt.pdf";""
