"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"The Basic Estonian Dictionary";"http://www.doi.org/10.15155/3-00-0000-0000-0000-05925L";"50,000 keywords";;"CC-BY";"https://creativecommons.org/licenses/by/4.0";"Estonian";"This is a monolingual dictionary that includes important Estonian words explained in simple language. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated webpage.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/psv/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05925L";;;
"The Dialectological Dictionary of Estonian";"https://www.doi.org/10.15155/3-00-0000-0000-0000-05923L";"73,397 keywords";"geographical distribution";"proprietary";;"Estonian";"This is a dictionary that provides a survey of Estonian dialect words and their areal distribution. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://portaal.eki.ee/dict/vms#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05923L";;;
"The Dictionary of Estonian Antonyms";"http://www.doi.org/10.15155/3-00-0000-0000-0000-05929L";"2,000 antonym pairs";;"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This dictionary contains antonym pairs, most of which belong to general language. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://portaal.eki.ee/dict/antonyymid#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05929L";;;
"The Dictionary of Estonian Dialects (2013-...)";"http://www.doi.org/10.15155/3-00-0000-0000-0000-06338L";"60,000 keywords";"geographical distribution, phonetic/phonological information";"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This is a dialectal dictionary with phonetic and grammatical information, information on the area of distribution, and meaning of dialectal words. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/ems/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-06338L";;;
"The Dictionary of Estonian Phraseology";"http://doi.org/10.15155/3-00-0000-0000-0000-05772L";"7,500 phrasemes";;"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This is a dictionary that contains phrasemes from various stylistic registers. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://portaal.eki.ee/dict/fraseoloogia#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05772L";;;
"The Dictionary of Estonian Synonyms";"http://doi.org/10.15155/3-00-0000-0000-0000-05AF3L";"10,000 synsets";;"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This is a comprehensive dictionary of Estonian synonyms. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://portaal.eki.ee/dict/synonyymid#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05AF3L";;;
"The Dictionary of Estonian Word Families - Index";"http://doi.org/10.15155/3-00-0000-0000-0000-064DFL";"120,000 words";;"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"A word family consists of all the words that are linked by formative processes and share one and the same word stem. The resource is available for online browsing.";"Dictionaries";"Browse";"http://portaal.eki.ee/dict/spi/";;;
"The Dictionary of Foreign Words";"http://doi.org/10.15155/3-00-0000-0000-0000-05AF7L";"33,000 keywords";"orthography, inflection, semantics and etymology of the words; for many unadapted foreign words the pronunciation is given, both audio and written; the understanding and use of the words is facilitated by labels and cross-references.";"CC-BY";"https://creativecommons.org/licenses/by/4.0";"Estonian";"This is a dictionary that contains widespread Estonian words of foreign origin. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/vsl/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05AF7L";;;
"The Dictionary of Old Võru Dialect";"http://doi.org/10.15155/3-00-0000-0000-0000-0679AL";"10,000 keywords";;"CC-BY";"https://creativecommons.org/licenses/by/4.0";"Estonian";"This dictionary is on the archaic Võru dialect spoken in the second half of the 19th and in the first half of the 20th century. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/Voru_murde_sonaraamat.pdf#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-0679AL";;;
"The Dictionary of the Eastern Dialect";"http://www.doi.org/10.15155/3-00-0000-0000-0000-05B53L";"7,000 keywords";;"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This is a dialectal dictionary. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/ida/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05B53L";;;
