"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"ParlAT beta";"https://www.oeaw.ac.at/acdh/tools/parlat/";"German (Austrian)";"75.2 million tokens";"tokenised, linked data (e.g., speaker information)";;;"This corpus contains Austrian parliamentary proceedings from 1996 to 2017. #SEPCurrently in development, ParlAT is planned to be a monitor corpus with new material added over time.";"Parliamentary corpora";;;"Wissik and Pirker (2018)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Wissik%20and%20Pirker%202018";
"Carniolan Provincial Assembly corpus Kranjska 1.0";"http://hdl.handle.net/11356/1824";"German, Slovenian";"10.9 million words";"tokenised, MSD-tagged, lemmatised";"CC-BY 4.0";;"The corpus contains meeting proceedings of 694 sessions of the Carniolan Provincial Assembly from 1861 to 1913.#SEPThe source data (scanned and OCR processed pdf documents) originally come from <a href=""http://www.dlib.si"">The Digital Library of Slovenia dLib.si</a> and <a href=""https://www.sistory.si"">History of Slovenia - SIstory</a> portals. The documents are bilingual, in Slovenian and German, depending on the speaker. German was first typeset in the Gothic script and later on in Latin.#SEPThe documents were automatically processed and the following data extracted: titles, agenda, attending, start and end of the session, speakers, and comments. Language was detected on the sentence level, roughly 58% sentences are in Slovenian and 42% in German. Linguistic annotation (tokenisation, MSD tagging and lemmatisation) was added using <a href=""https://github.com/nlp-uoregon/trankit"">Trankit</a> for Slovenian and German, while <a href=""https://github.com/pemistahl/lingua-py"">Lingua</a> is used for language detection.#SEPThe documents are in the <a href=""https://github.com/clarin-eric/parla-clarin"">Parla-CLARIN</a> compliant TEI XML format. Each session in one file.";"Historical corpora";"Download";"http://hdl.handle.net/11356/1824";"Marolt et al. (2023)";"https://doi.org/10.5281/zenodo.8108048";
"Hellenic Parliament Minutes (1989-1994, 1997-2018)";"http://hdl.grnet.gr/11500/AEGEAN-0000-0000-57FA-5";"Greek";"181 million words";;"CC-BY-NC";;"The corpus contains Greek parliamentary debates for two periods: 1989-1994 and 1997-2018. #SEPThe corpus is available for download from the CLARIN:el repository.";"Parliamentary corpora";"Download";"http://hdl.grnet.gr/11500/AEGEAN-0000-0000-57FA-5";;;
"Speeches of Politicians in the Greek Parliament";"http://hdl.grnet.gr/11500/AEGEAN-0000-0000-5808-5";"Greek";"258,036 words";;"CC-BY-NC";;"This corpus contains speeches delivered by 5 members of parliament: Dimitris Anagnostakis, Nikos Tsoukalis, Paros Koukoulopoulos, Niki Founta, and Panayiotis Kammenos. #SEPThe corpus is available for download from the CLARIN:el repository. ";"Parliamentary corpora";"Download";"http://hdl.grnet.gr/11500/AEGEAN-0000-0000-5808-5";;;
"European Parliament Proceedings Parallel Corpus 1996-2011, parallel corpus Greek-English";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-23DE-F";"Greek-English";"31.9 million words (English), 1.2 million sentences (Greek)";"sentence aligned";"CC ZERO";;"This corpus is a bilingual Greek-English subset of the <a href=""https://www.clarin.eu/resource-families/parliamentary-corpora#Europarl"">Europal parallel corpus</a>.#SEPThe corpus is available for download from the CLARIN:EL repository.";"Parliamentary corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-23DE-F";;;
"The Icelandic Parliamentary Corpus";"https://clarin.is/en/resources/parliament/";"Icelandic";"238 million tokens";"tokenised, PoS-tagged, lemmatised";"CC-BY 4.0";;"This corpus contains debates in the Icelandic parliament (Alþingi) from 1911 to 2017.#SEPThe corpus is available for download from CLARIN-IS (as a part of the Icelandic Gigaword Corpus) and for search through the concordancer Korp.";"Parliamentary corpora";"Concordancer#SEPDownload";"https://malheildir.arnastofnun.is/?mode=rmh2018#?stats_reduce=word&isCaseInsensitive&searchBy=word&cqp=%5B%5D&lang=en&corpus=rmh2018_althingi#SEPhttp://www.malfong.is/index.php?lang=en&pg=&dlid=95";"Steingrímsson et al. (2018)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Steingr%C3%ADmsson%20et%20al.%202018";
"Corpus of the Saeima (the Parliament of Latvia)";"https://hdl.handle.net/20.500.12574/50";"Latvian";"21 million words";"tokenised, msd-tagged, lemmatised, syntactically parsed, named entities";;;"This corpus contains parliamentary debates from seven parliamentary terms (5th–12th Saeima) covering years 1993–2017. The available metadata for each utterance includes the date and type of the parliamentary session and speakers’ names and affiliations.#SEPThe corpus is available for online browsing through the noSketch Engine (CLARIN-LV) concordancer.";"Parliamentary corpora";"Concordancer";"http://nosketch.korpuss.lv/#dashboard?corpname=saeima";"Darģis et al. (2018)";"http://lrec-conf.org/workshops/lrec2018/W2/pdf/21_W2.pdf";
"Lithuanian Parliament Corpus for Authorship Attribution";"http://hdl.handle.net/20.500.11821/17";"Lithuanian";"23.9 million tokens";"tokenised, PoS-tagged, lemmatised";"CLARIN PUB";;"The corpus contains Lithuanian parliamentary debates from 1990 to 2013.  It is annotated with <a href=""http://www.lvb.lt/primo_library/libweb/action/dlDisplay.do?vid=LDB&amp;docId=TLITLIJ.04~2000~1367182714637&amp;fromSitemap=1&amp;afterPDS=true"">Lemuoklis</a> (morphological analyzer for lemmatization) and <a href=""http://www.maltparser.org/"">MaltParser</a> (generation of dependency tags). #SEPThe corpus is available for download from the repository of CLARIN-LT.";"Parliamentary corpora";"Download";"http://hdl.handle.net/20.500.11821/17";;;
"Norwegian Parliamentary Speech Corpus";"https://www.nb.no/sprakbanken/en/resource-catalogue/oai-nb-no-sbr-58/";"Norwegian";"140 hours; 65,000 sentences; 1.2 million words";;"CC-ZERO";;"This corpus consists of audio recordings of meetings in <a href=""https://www.stortinget.no/no/"">Stortinget</a> (the Norwegian parliament), and corresponding orthographic transcriptions in either Norwegian Bokmål or Norwegian Nynorsk, as well as various metadata about the speakers. The official proceedings from the meetings are also included in the corpus for reference.#SEP Transcription was first done automatically; subsequently, the output of the automatic process was manually checked and corrected by trained linguists and philologists. Finally, all transcriptions were proofread to ensure consistency and accuracy. The audio files in the corpus contain the speech of entire days of plenary meetings from 2017 and 2018 (or, if a meeting lasts more than six hours, the first six hours of a day).#SEPThe corpus is available for download from the Norwegian Language Bank.";"Parliamentary corpora";"Download";"https://www.nb.no/sprakbanken/en/resource-catalogue/oai-nb-no-sbr-58/";"Solberg and Ortiz (2022)";"https://doi.org/10.48550/arXiv.2201.10881";
"Proceedings of Norwegian Parliamentary Debates";"http://hdl.handle.net/11495/DA65-D02F-0EB0-9";"Norwegian";"29 million tokens";"tokenised, sentence segmentation, speaker metadata (name, party, time, type of utterance)";"NLOD";;"The corpus contains Norwegian parliamentary debates from 2008 to 2015. #SEPThe corpus is available through the concordancer Corpuscle.";"Parliamentary corpora";"Concordancer";"http://hdl.handle.net/11495/DA65-D02F-0EB0-9";;;
"Talk of Norway";"http://hdl.handle.net/11509/123";"Norwegian";"63.8 million tokens";"tokenised, PoS-tagged, lemmatised";"NLOD";;"The corpus contains Norwegian parliamentary debates from 1998 to 2016. #SEPThe corpus is available for download from the CLARINO repository.";"Parliamentary corpora";"Download";"http://hdl.handle.net/11509/123";"Lapponi et al. (2018)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Lapponi%20et%20al.%202018";
"Polish Parliamentary Corpus";"http://hdl.handle.net/11321/467";"Polish";"300 million tokens";"tokenised, MSD-tagged, named entities, etc.";;;"The corpus contains Polish parliamentary debates from 1991 to 2017. It is annotated with <a href=""http://sgjp.pl/morfeusz/"">Morfeusz SGJP</a> (morphological analyser), <a href=""http://zil.ipipan.waw.pl/PANTERA"">Pantera</a> (disambiguating tagger), <a href=""http://zil.ipipan.waw.pl/Spejd"">Spejd</a> (shallow parser), <a href=""http://zil.ipipan.waw.pl/Nerf"">Nerf</a> (named entity recognizer). #SEPThe corpus is available for download from a dedicated webpage and through the concordancer NKJP. ";"Parliamentary corpora";"Concordancer#SEPDownload";"http://sejm.nlp.ipipan.waw.pl/#SEPhttp://clip.ipipan.waw.pl/PSC";"Ogrodniczuk (2018)";"http://lrec-conf.org/workshops/lrec2018/W2/pdf/11_W2.pdf";
"PTPARL Corpus";"https://hdl.handle.net/21.11129/0000-000B-D33C-4";"Portuguese";"1 million tokens";"tokenised, PoS-tagged, lemmatised";"CLARIN RES";;"The corpus contains Portuguese parliamentary debates from 1970 to 2008. It is annotated with <a href=""http://lxcenter.di.fc.ul.pt/tools/en/LXTokenizerEN.html"">LX-Tokenizer</a>, <a href=""http://lxcenter.di.fc.ul.pt/tools/en/conteudo/LXTagger.html"">LX-Tagger</a>, MBT, <a href=""https://ilk.uvt.nl/mbma/"">MBLEM</a> (lemmatisation). #SEPThe corpus is available for download from the CLARIN PORTUGAL repository.";"Parliamentary corpora";"Download";"https://hdl.handle.net/21.11129/0000-000B-D33C-4";"Généreux et al. (2012)";"https://www.clarin.eu/resource-families/parliamentary-corpora#G%C3%A9n%C3%A9reux%20et%20al.%202012";
"Slovenian parliamentary corpus ParlaMeter-sl 1.0";"http://hdl.handle.net/11356/1208";"Slovenian";"41 million tokens";"tokenised, MSD-tagged, lemmatised, named entities";"CC-BY";;"The corpus contains minutes of the National Assembly of the Republic of Slovenia and currently covers the VIIth mandate from 1 August 2014 to 22 June 2018. The corpus contains speaker metadata (gender, age, education, party affiliation).#SEPThe corpus is available for download from the CLARIN.SI repository and through the concordancers <a href=""https://www.clarin.si/kontext/first_form?corpname=parlameter_sl"">KonText </a> and <a href=""https://www.clarin.si/noske/run.cgi/corp_info?corpname=parlameter_sl&amp;struct_attr_stats=1"">noSketchEngine</a>, as well as through a dedicated <a href=""https://parlameter.si/"">dedicated webpage</a>.";"Parliamentary corpora";"Concordancer#SEPDownload";"https://www.clarin.si/kontext/first_form?corpname=parlameter_sl#SEPhttp://hdl.handle.net/11356/1167";"Ljubešić et al. (2018)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Ljube%C5%A1i%C4%87%20et%20al.%202018";
"Slovenian parliamentary corpus siParl 3.0";"http://hdl.handle.net/11356/1748";"Slovenian";"213 million words";"tokenised, PoS-tagged, lemmatised";"CC-BY";;"The corpus contains Slovenian parliamnetary debates from 1990 to 2022. It differs from the SlovParl 2.0 corpus (listed below) in that it contains only basic meta-data about the speakers, a typology of sessions and structural and editorian annotations. #SEPThe corpus is available for download from the CLARIN.SI repository and through the concordancers <a href=""https://www.clarin.si/kontext/query?corpname=siparl30"">KonText </a> and <a href=""https://www.clarin.si/noske/run.cgi/corp_info?corpname=siparl30&struct_attr_stats=1"">noSketchEngine</a>.";"Parliamentary corpora";"Concordancer#SEPDownload";"https://www.clarin.si/noske/run.cgi/corp_info?corpname=siparl30&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1748";;;
"Slovenian parliamentary corpus SlovParl 2.0";"http://hdl.handle.net/11356/1167";"Slovenian";"3.2 million tokens";"tokenised, PoS-tagged, lemmatised";"CC-BY";;"The SlovParl corpus contains minutes of the Assembly of the Republic of Slovenia for the legislative period 1990-1992, i.e. it covers the period before, during, and after Slovenia became an independent country in 1991. The corpus comprises 232 sessions, 58,813 speeches and 10.8 million words. The corpus contains extensive meta-data about the speakers, a typology of sessions etc. and structural and editorial annotations.";"Parliamentary corpora";"Concordancer#SEPDownload";"https://www.clarin.si/kontext/first_form?corpname=slovparl #SEPttp://hdl.handle.net/11356/1167";"Pančur and Šorn (2016)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Pan%C4%8Dur%20and%20%C5%A0orn%202016";
"Riksdag’s Open Data";"https://spraakbanken.gu.se/eng/resources";"Swedish";"1.25 billion tokens";"tokenised, lemmatised";"CC-BY";;"The corpus contains Swedish parliamentary debates from 1971 to 2016. It is annotated with <a href=""https://spraakbanken.gu.se/swe/forskning/infrastruktur/sparv"">Sparv</a>. #SEPThe corpus is available for download from Spr?kbanken (all entries with ""Riksdag's Open Data"" in the subtitle) and through the concordancer Korp.";"Parliamentary corpora";"Concordancer#SEPDownload";"https://spraakbanken.gu.se/korp/#?stats_reduce=word&cqp=%5B%5D&corpus=rd-bet,rd-ds,rd-eun,rd-fpm,rd-frsrdg,rd-flista,rd-ip,rd-kammakt,rd-kom,rd-mot,rd-prop,rd-prot,rd-rskr,rd-samtr,rd-skfr,rd-sou,rd-tlista,rd-utr,rd-utsk,rd-yttr,rd-ovr&lang=en#SEPhttp://spraakbanken.gu.se/eng/resources";"Borin et al. (2016)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Borin%20et%20al.%202016";
"Europarl: European Parliament Proceedings Parallel Corpus 1996-2011";"https://www.statmt.org/europarl/";"21 languages";"33.7 million tokens";"sentence/aligned";"CC0";;"This corpus contains parliamentary debates from the European Parliament from 1996 to 2011. #SEPThe corpus is available for download from a dedicated webpage.";"Parliamentary corpora";"Download";"http://www.statmt.org/europarl/";;;
