"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Language";"Description";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"WMT21 Marian translation models (ca-ro,it,oc)";"http://hdl.handle.net/11234/1-3769";;"machine translation";"CC BY-NC-SA 4.0";"
Catalan, Italian, Occitan, Romanian";"This is a translation model from Catalan into Romanian, Italian, and Occitan that was part of the submission for <a href=""https://www.statmt.org/wmt21/multilingualHeritage-translation-task.html"">WMT21 Multilingual Low-Resource Translation for Indo-European Languages Shared Task</a>.#SEPThe model is available for download from the LINDAT repository.";"Download";"http://hdl.handle.net/11234/1-3769";"Jon et al. (2021)";"https://arxiv.org/abs/2109.09354";
"WMT21 Marian translation model (ca-oc)";"http://hdl.handle.net/11234/1-3770";;"machine translation";"CC BY-NC-SA 4.0";"Catalan, Occitan";"This is a translation model from Catalan  Occitan that was part of the submission for <a href=""https://www.statmt.org/wmt21/multilingualHeritage-translation-task.html"">WMT21 Multilingual Low-Resource Translation for Indo-European Languages Shared Task</a>.#SEPThe model is available for download from the LINDAT repository.";;;;;
"WMT21 Marian translation model (ca-oc)";"http://hdl.handle.net/11234/1-3770";;"machine translation";"CC BY-NC-SA 4.0";"Catalan, Occitan";"This is a neural machine translation model for Catalan to Occitan translation and constitutes the primary CUNI submission for <a href=""https://www.statmt.org/wmt21/multilingualHeritage-translation-task.html"">WMT21 Multilingual Low-Resource Translation for Indo-European Languages Shared Task</a>.#SEPThe model is available for download from the LINDAT repository.";"Download";"http://hdl.handle.net/11234/1-3770";"Jon et al. (2021)";"https://arxiv.org/abs/2109.09354";
"WMT21 Marian translation model (ca-oc multi-task)";"http://hdl.handle.net/11234/1-3772";;"machine translation";"CC BY-NC-SA 4.0";"Catalan, Occitan";"This is a neural machine translation model for Catalan to Occitan translation. It is a multi-task model, also producing  phonemic transcription of the Catalan source. The model was submitted to <a href=""https://www.statmt.org/wmt21/multilingualHeritage-translation-task.html"">WMT21 Multilingual Low-Resource Translation for Indo-European Languages Shared Task</a> as a CUNI-Contrastive system for Catalan to Occitan.#SEPThe model is available for download from the LINDAT repository.";"Download";"http://hdl.handle.net/11234/1-3772";"Jon et al. (2021)";"https://arxiv.org/abs/2109.09354";
"Czech image captioning, machine translation, sentiment analysis and summarization (Neural Monkey models)";"http://hdl.handle.net/11234/1-3145";;"machine translation";"CC BY-NC-SA 4.0";"Czech, English";"These models are for the <a href=""https://ufal.mff.cuni.cz/neuralmonkey"">Neural Monkey</a> toolkit for Czech and English, solving four NLP tasks: machine translation, image captioning, sentiment analysis, and summarization. The models are trained on standard datasets and achieve state-of-the-art or near state-of-the-art performance in the tasks. The same models can also be invoked via <a href=""https://ufal.mff.cuni.cz/grants/lsd"">an online demo</a>.#SEPThis entry also includes models for automatic news summarization for Czech and English. The Czech models were trained using the <a href=""http://hdl.handle.net/11234/1-2615"">SumeCzech dataset</a>, while the English models were trained using the <a href=""https://paperswithcode.com/dataset/cnn-daily-mail-1"">CNN-Daily Mail</a> corpus, using the standard recurrent sequence-to-sequence architecture.#SEPThe models are available for download from the LINDAT repository.";"Download";"http://hdl.handle.net/11234/1-3145";"Libovicky et al. (2018)";"http://ceur-ws.org/Vol-2203/138.pdf";
"CUBBITT Translation Models (en-cs) (v1.0)";"http://hdl.handle.net/11234/1-3733";;"machine translation";"CC BY-NC-SA 4.0";"Czech, English";"These English-Czech translation models are used by the <a href=""https://lindat.mff.cuni.cz/services/translation/""Lindat translation service</a>.#SEPThe model is available for download from the LINDAT repository.";"Download";"http://hdl.handle.net/11234/1-3733";;;
"WMT16 Tuning Shared Task Models (Czech-to-English)";"http://hdl.handle.net/11372/LRT-1671";;"machine translation";"CC BY-NC-SA 4.0";"Czech, English";"These Czech to English translation models are trained on the <a href=""http://ufal.mff.cuni.cz/czeng/czeng16pre"">parallel CzEng 1.6 corpus</a>. The data is tokenized with <a href=""https://pypi.org/project/mosestokenizer/"">Moses</a>). Alignment is done using <a href=""https://github.com/clab/fast_align"">fast_align</a> and the standard Moses pipeline is used for training. #SEPThe models are available for download from the LINDAT repository.";"Download";"http://hdl.handle.net/11372/LRT-1671";;;
"CUBBITT Translation Models (en-fr) (v1.0)";"http://hdl.handle.net/11234/1-3743";;"machine translation";"CC BY-NC-SA 4.0";"English, French";"These are <a href=""https://ufal.mff.cuni.cz/cubbitt"">CUBBITT</a> English-French translation models available in the LINDAT <a href=""https://lindat.mff.cuni.cz/services/translation/"">translation service</a>.#SEPThe models are available for download from the LINDAT repository.";"Download";"http://hdl.handle.net/11234/1-3743";"Popel et al. (2020)";"https://doi.org/10.1038/s41467-020-18073-9";
"Translation Models (English-German)";"http://hdl.handle.net/11234/1-3732";;"machine translation";"CC BY-NC-SA 4.0";"English, German";"These English-German translation models are used by the <a href=""https://lindat.mff.cuni.cz/services/translation/"">Lindat translation service</a>.#SEPThe models are available for download from the LINDAT repository.";"Download";"http://hdl.handle.net/11234/1-3732";;;
"MCSQ Translation Models (en-de) (v1.0)";"http://hdl.handle.net/11234/1-4680";;"machine translation";"CC BY-NC-SA 4.0";"English, German";"These are English-German translation models available in the LINDAT <a href=""https://lindat.mff.cuni.cz/services/translation/"">translation service</a>. The models are trained using the MCSQ social surveys dataset (available <a href=""https://repo.clarino.uib.no/xmlui/bitstream/handle/11509/142/mcsq_v3.zip"">here</a> ). #SEPThe models are available for download from the LINDAT repository.";"Download";"http://hdl.handle.net/11234/1-4680";;;
