Corpus;Corpus_URL;Size;Annotation;Licence;Licence_URL;Language;Description;Family;Buttons;Buttons_URL;Publication;Publication_URL;Note
The CLASSLA-Stanza model for lemmatisation of standard Bulgarian 2.1;http://hdl.handle.net/11356/1850;;lemmatisation;CC BY-SA 4.0;;Bulgarian;"The model for lemmatisation of standard Bulgarian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""https://clarino.uib.no/korpuskel/corpora"">BulTreeBank training corpus</a> and using the Bulgarian inflectional lexicon (Popov, Simov, and Vidinska 1998). The estimated F1 of the lemma annotations is ~98.93.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1850;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
The CLASSLA-Stanza model for lemmatisation of standard Croatian 2.1;http://hdl.handle.net/11356/1829;;lemmatisation;CC BY-SA 4.0;;Croatian;"The model for lemmatisation of standard Croatian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""http://hdl.handle.net/11356/1792"">hr500k training corpus</a> and using the <a href=""http://hdl.handle.net/11356/1232"">hrLex inflectional lexicon</a>. The estimated F1 of the lemma annotations is ~98.02.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1829;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
The CLASSLA-Stanza model for lemmatisation of non-standard Croatian 2.1;http://hdl.handle.net/11356/1827;;lemmatisation;CC BY-SA 4.0;;Croatian (non-standard);"The model for lemmatisation of non-standard Croatian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""http://hdl.handle.net/11356/1792"">hr500k training corpus</a> and the <a href=""http://hdl.handle.net/11356/1793"">ReLDI-NormTagNER-hr corpus</a>, using the <a href=""http://hdl.handle.net/11356/1232"">hrLex inflectional lexicon</a>. These corpora were additionally augmented for handling missing diacritics by repeating parts of the corpora with diacritics removed. The estimated F1 of the lemma annotations is ~94.23.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1827;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
The CLASSLA-Stanza model for lemmatisation of standard Macedonian 2.1;http://hdl.handle.net/11356/1848;;lemmatisation;CC BY-SA 4.0;;Macedonian;"The model for lemmatisation of standard Macedonian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the 1984 training corpus expanded with the Macedonian SETimes corpus (to be published). The estimated F1 of the lemma annotations is ~98.81.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1848;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
The CLASSLA-Stanza model for lemmatisation of standard Serbian 2.1;http://hdl.handle.net/11356/1830;;lemmatisation;CC BY-SA 4.0;;Serbian;"The model for lemmatisation of standard Serbian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""http://hdl.handle.net/11356/1200"">SETimes.SR training corpus</a> combined with the <a href=""http://hdl.handle.net/11356/1794"">Serbian non-standard training corpus ReLDI-NormTagNER-sr</a> and using the <a href=""http://hdl.handle.net/11356/1233"">srLex inflectional lexicon</a>. The estimated F1 of the lemma annotations is ~98.02.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1830;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
The CLASSLA-Stanza model for lemmatisation of non-standard Serbian 2.1;http://hdl.handle.net/11356/1828;;lemmatisation;CC BY-SA 4.0;;Serbian (non-standard);"The model for lemmatisation of non-standard Serbian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""http://hdl.handle.net/11356/1200"">SETimes.SR training corpus</a> combined with the <a href=""http://hdl.handle.net/11356/1794"">Serbian non-standard training corpus ReLDI-NormTagNER-sr</a> and using the <a href=""http://hdl.handle.net/11356/1233"">srLex inflectional lexicon</a>. These corpora were additionally augmented for handling missing diacritics by repeating parts of the corpora with diacritics removed. The estimated F1 of the lemma annotations is ~94.92.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1828;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
The CLASSLA-StanfordNLP model for lemmatisation of standard Slovenian 2.0;http://hdl.handle.net/11356/1768;;lemmatisation;CC BY-SA 4.0;;Slovenian;"The model for lemmatisation of standard Slovenian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""http://hdl.handle.net/11356/1747"">SUK training corpus</a> and using the <a href=""http://hdl.handle.net/11356/1204"">CLARIN.SI-embed.sl word embeddings</a> expanded with the <a href=""http://hdl.handle.net/11356/1517"">MaCoCu-sl Slovene web corpus</a>. The estimated F1 of the lemma annotations is ~99.7.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1768;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
The CLASSLA-Stanza model for lemmatisation of non-standard Slovenian 2.1;http://hdl.handle.net/11356/1784;;lemmatisation;CC BY-SA 4.0;;Slovenian (non-standard);"The model for lemmatisation of non-standard Slovenian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""http://hdl.handle.net/11356/1747"">SUK training corpus</a> and on the <a href=""http://hdl.handle.net/11356/1732"">Janes-Tag corpus</a> using the <a href=""http://hdl.handle.net/11356/1204"">CLARIN.SI-embed.sl word embeddings</a> expanded with the <a href=""http://hdl.handle.net/11356/1517"">MaCoCu-sl Slovene web corpus</a>. These corpora were additionally augmented for handling missing diacritics by repeating parts of the corpora with diacritics removed. The estimated F1 of the lemma annotations is ~91.45.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1784;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
Lemmatization model: Stanza;https://spraakbanken.gu.se/index.php/en/resources/stanzalem;;lemmatisation;CC BY 4.0;;Swedish;This model enables lemmatisation of Swedish text following the SUC3 standard.#SEPThe models are available for download from the Swedish Language Bank.;Language models;Download;https://spraakbanken.gu.se/index.php/en/resources/stanzalem;;;
