Corpus,Corpus_URL,Language,Size,Annotation,Licence,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
"MULTEXT-East ""1984"" annotated corpus 4.0 ",http://hdl.handle.net/11356/1043,"Bulgarian, Czech, English, Estonian, Hungarian, Macedonian, Persian, Polish, Romanian, Serbian, Slovak, Slovenian","12 texts; 79,718 sentences; 1,064,424 words","sentence-alignment, MSD tagging",CC BY-NC SA 4.0,This is Parallel corpus of George Orwell's 1984 and its translations.#SEPThe corpus is available for download from CLARIN.SI.,Download,http://hdl.handle.net/11356/1043,,,
Anthology of Middle English texts / Santiago Gonzalez y Fernandez-Corugedo,http://purl.ox.ac.uk/ota/1398,"English (Middle), Hebrew","4,000 words",,Oxford Text Archive Licence,This corpus contains literary texts from 1100 to 1400.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/1398,,,
Finnish Folk Poetry,http://urn.fi/urn:nbn:fi:lb-2014052712,"Finnish, Karelian, Ludian, Latin, Swedish, Olonets, Izhorian, Votic",7.1 million words,,CC-BY-NC,This corpus contains poems from 1564 to 1939.#SEPThe corpus is available for online browsing through Korp.,Browse,http://urn.fi/urn:nbn:fi:lb-2014052711,,,
"ParFin 2016, Finnish-Russian Parallel Corpus of Literary Texts",http://urn.fi/urn:nbn:fi:lb-2016121610,"Finnish, Russian","2,044,172 tokens","MSD-tagged, syntactically parsed",CLARIN RES +NC +INF +ND,This corpus contains Finnish literary texts from 1990-2010 and their translations into Russian aligned at sentence level.#SEPThe corpus is available for online browsing through Korp.,Browse,http://urn.fi/urn:nbn:fi:lb-2016121601,,,
"ParRus 2016, Russian-Finnish Parallel Corpus of Literary Texts",http://urn.fi/urn:nbn:fi:lb-20140730173,"Finnish, Russian","5,900,000 tokens","MSD-tagged, syntactically parsed",CLARIN RES +NC +INF +ND,This corpus contains Russian literary texts (classical literature & 20th century) and their translations into Finnish aligned at paragraph level.#SEPThe corpus is available for online browsing through Korp.,Browse,http://urn.fi/urn:nbn:fi:lb-2016121604,,,
Aleksis Kivi Corpus (SKS),http://urn.fi/urn:nbn:fi:lb-201405274,"Finnish, Swedish","413,735 words","MSD-tagged, syntactically parsed",CC-BY-NC,"This corpus contains all the known letters, manuscripts and published works by Finnish author Aleksis Kivi (1834–1872). Most of the texts were written in Finnish while some of the letters and manuscripts are in Swedish. The time coverage of the texts: 1855-1871.#SEPThe corpus is available for online browsing through Korp.",Browse,http://urn.fi/urn:nbn:fi:lb-2016121604,,,
Classics Library of the National Library of Finland - Kielipankki version,http://urn.fi/urn:nbn:fi:lb-2018051701,"Finnish, Swedish",,,CC-BY,This corpus contains literary texts from 1549 to 1944.#SEPThe corpus is available for online browsing through FIN-CLARIN.,Browse,https://www.kielipankki.fi/corpora/nlfcl-fi-authors/,,,
aformes,http://hdl.grnet.gr/11500/UOA-0000-0000-2575-3,"Greek (Modern), English","376,250 words",,CC-BY-NC,This corpus contains fiction texts from a journal of undergraduate creative writing at the Faculty of English Language and Literature.#SEPThe corpus is available for download from clarin:el.,Download,http://hdl.grnet.gr/11500/UOA-0000-0000-2575-3,,,
