"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Czech and English abstracts of ÚFAL papers";"https://hdl.handle.net/11234/1-1731";"Czech,English";"2 million words";"document aligned";"CC BY";"";"This parallel corpus contains research paper abstracts in formal and applied linguistics. For each publication, the authors were obliged to provide both the original abstract in Czech or English, and its translation into English or Czech, respectively. The corpus data are in the TSV format.#SEPThe corpus is available for download from the LINDAT repository.";"Academic corpora";"Download";"http://hdl.handle.net/11234/1-1731";"";"";""
"The KIAP corpus";"http://hdl.handle.net/11495/D989-605B-8F10-5";"English,French,Norwegian";"3.9 million tokens";"PoS-tagged";"CC-BY 4.0";"";"This comparable corpus contains research articles in economics, linguistics, and medicine published between 1992 and 2003.#SEPThe corpus is available for online browsing through the concordancer Corpuscle (CLARINO distribution).";"Academic corpora";"Concordancer";"http://clarino.uib.no/korpuskel/landing-page?identifier=kiap&view=short";"";"";""
