Corpus,Corpus_URL,Language,Size,Annotation,Licence,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
Korpusbasierte Analyse österreichischer Parlamentsreden,http://homepages.uni-regensburg.de/~sic07430/,German (Austrian),1.2 million tokens,"tokenised, PoS-tagged",,"The corpus contains Austrian parliamentary debates from 2013 to 2015. It is annotated with the It's <a href=""https://nlp.stanford.edu/software/tagger.shtml"">Stanford Tagger</a>. #SEPThe corpus is available for download from a dedicated webpage.",Download,http://homepages.uni-regensburg.de/~sic07430/,Sippl et al. (2016),https://www.clarin.eu/resource-families/parliamentary-corpora#Sippl%20et%20al.%202016,
Corpus of Bulgarian Political and Journalistic Speech,http://www.political.webclark.org/?locale=bg,Bulgarian,10 million tokens,"tokenised, PoS-tagged, lemmatised",,The corpus contains Bulgarian parliamentary debates from 2006 to 2012. #SEPThe corpus is available through a dedicated concordancer.,Concordancer,http://www.political.webclark.org/?locale=bg,,,
CzechParl,https://www.muni.cz/en/research/publications/914268,Czech,81.9 million tokens,"tokenised, MSD-tagged and lemmatised",,"The corpus contains Czech parliamentary debates from 1993 to 2010. It is annotated with It's <a href=""https://nlp.fi.muni.cz/projekty/ajka/"">ajka</a>. #SEPThe corpus is available through the Sketch Engine.",Concordancer,https://the.sketchengine.co.uk/login/?next=%2Fcorpus%2Ffirst_form%3Fcorpname%3Dpreloaded%2Fczechparl2012%3B,Jakubíček and Kovář (2010),https://www.clarin.eu/resource-families/parliamentary-corpora#Jakub%C3%AD%C4%8Dek%20and%20Kov%C3%A1%C5%99%202010,
DutchParl,http://search.politicalmashup.nl/about.html,Dutch,800 million tokens,"tokenised, PoS-tagged, lemmatised",,"The corpus contains Dutch parliamentary debates from 1814 to 2014. It is annotated with It's <a href=""https://github.com/proycon/python-frog"">Frog</a>. See also It's <a href=""http://schema.politicalmashup.nl/"">information on the schema</a> used. #SEPThe corpus is available for download (the authors needs to be contacted) and is also accessible online through the Political Mashup environment.",Concordancer#SEPDownload,http://search.politicalmashup.nl/#SEPhttp://data.politicalmashup.nl/permanent/,Marx and Schuth (2010),https://www.clarin.eu/resource-families/parliamentary-corpora#Marx%20and%20Schuth%202010,
HanDeSeT: Hansard Debates with Sentiment Tags,https://data.mendeley.com/datasets/xsvp45cbt4/2,English,1251 motion-speech units taken from 129 separate debates,sentiment tags,Open Parliament Licence V3.0 and Open Data Commons Open Database License (OdbL),This corpus contains English parliamentary debates from 1997 to 2017. #SEPThe corpus is available for download from a dedicated webpage. ,Download,https://data.mendeley.com/datasets/xsvp45cbt4/2,Abercrombie and Batista-Navarro (2018),https://www.clarin.eu/resource-families/parliamentary-corpora#Abercrombie%20and%20Batista-Navarro%202018,
UKParl Dataset,https://federiconanni.com/%20ukparl/,English,"354,400 tokens","fine-grained topic annotation, additional semantic information (entity links)",,This corpus contains British parliamentary debates of the House of Commons from 2013 to 2016. #SEPThe corpus is available for download from Google Drive.,Download,https://drive.google.com/file/d/1XRsGl8HHW2DUsuRxfajT3ycRIJN_MrE8/view?usp=sharing,Nanni et al. (2018),https://www.clarin.eu/resource-families/parliamentary-corpora#Nanni%20et%20al.%202018,
polmineR corpus,https://github.com/PolMine,German,Only a small sample available,,,A small sample is available for download from the GitHub webpage of the corpus.,Download,http://github.com/PolMine,,,
LinkedSAEIMA,http://dati.saeima.korpuss.lv/,Latvian,12.5 million tokens,"tokenised, lemmatised",,The corpus contains Latvian parliamentary debates from 1993 to 2016. #SEPThe corpus is available through noSketchEngine. ,Concordancer,http://nosketch.korpuss.lv/run.cgi/first_form?corpname=saeima,,,
